source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0001816	IAO:0000115	A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.	Un cáncer vascular que se_deriva_de las células que recubren las paredes de los vasos sanguíneos o linfáticos.	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.7708999999999999				
DOID:0001816	oboInOwl:hasExactSynonym	hemangiosarcoma	hemangiosarcoma	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0001816	rdfs:label	angiosarcoma	angiosarcoma	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0002116	IAO:0000115	A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.	Enfermedad de la córnea que se caracteriza por un crecimiento triangular del tejido que se_ubica_en la córnea del ojo que es el resultado de la degeneración del colágeno y la proliferación fibrovascular.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.68565	JAB-quick			
DOID:0002116	oboInOwl:hasExactSynonym	surfer's eye	ojo de surfista	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.9				
DOID:0002116	rdfs:label	pterygium	pterigión	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0014667	IAO:0000115	A disease that involves errors in metabolic processes of building or degradation of molecules.			en	es	UNTRANSLATED					
DOID:0014667	IAO:0000115	A disease that involving errors in metabolic processes of building or degradation of molecules.	Trastorno que implica errores en los procesos metabólicos de construcción o degradación de moléculas.	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-SOURCE TEXT	0.6317	JAB-quick			MANUALLY TRANSLATED
DOID:0014667	oboInOwl:hasExactSynonym	metabolic disease	enfermedad metabólica	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0014667	rdfs:label	disease of metabolism	enfermedad del metabolismo	The Spanish Group (https://thespanishgroup.org/)	en	es	FINAL	0.375	Claudia			
