class,label,definition,clase,etiqueta,definición,class_match
http://purl.obolibrary.org/obo/DOID_0050328,congenital hypothyroidism,A hypothyroidism that is present at birth.,http://purl.obolibrary.org/obo/DOID_0050328,hipotiroidismo congénito,Un hipotiroidismo que está presente al nacer.,TRUE
http://purl.obolibrary.org/obo/DOID_0080015,physical disorder,"A disease that has_material_basis_in a genetic abnormality, error with embryonic development, infection or compromised intrauterine environment.",http://purl.obolibrary.org/obo/DOID_0080015,trastorno físico,"Una enfermedad que tiene_su_base_material_en una anomalía genética, un error con el desarrollo embrionario, una infección o un entorno intrauterino comprometido.",TRUE
http://purl.obolibrary.org/obo/DOID_0050453,lissencephaly,A congenital nervous system abnormality characterized by the absence of folds in the cerebral cortex and caused_by defective neuronal migration during the 12th to 24th weeks of gestation.,http://purl.obolibrary.org/obo/DOID_0050453,lisencefalia,Anomalía congénita del sistema nervioso caracterizada por la ausencia de pliegues en la corteza cerebral y causada_por una migración neuronal defectuosa durante las semanas 12 a 24 de gestación.,TRUE
http://purl.obolibrary.org/obo/DOID_2490,congenital nervous system abnormality,NA,http://purl.obolibrary.org/obo/DOID_2490,anomalía congénita del sistema nervioso,NA,TRUE
http://purl.obolibrary.org/obo/DOID_0050454,periventricular nodular heterotopia,A congenital nervous system abnormality characterized by non proper migration of neurons during the early development of the fetal brain.,http://purl.obolibrary.org/obo/DOID_0050454,heterotopía nodular periventricular,Anomalía congénita del sistema nervioso caracterizada por la migración no adecuada de las neuronas durante el desarrollo temprano del cerebro fetal.,TRUE
http://purl.obolibrary.org/obo/DOID_0050488,early congenital syphilis,"A congenital syphilis that is manifested during the first 3 months of life. The infection has_symptom skin lesions, has_symptom lymphadenopathy, has_symptom hepatosplenomegaly, has_symptom failure to thrive, has_symptom blood-stained nasal discharge, has_symptom perioral fissures, has_symptom meningitis, has_symptom choroiditis, has_symptom hydrocephalus, has_symptom seizures, has_symptom intellectual disability, has_symptom osteochondritis, and has_symptom pseudoparalysis.",http://purl.obolibrary.org/obo/DOID_0050488,sífilis congénita precoz,"Una sífilis congénita que se manifiesta durante los 3 primeros meses de vida. La infección presenta lesiones cutáneas, linfadenopatía, hepatoesplenomegalia, retraso del crecimiento, secreción nasal sanguinolenta, fisuras periorales, meningitis, coroiditis, hidrocefalia, convulsiones, discapacidad intelectual, osteocondritis y pseudoparálisis.",TRUE
http://purl.obolibrary.org/obo/DOID_9856,congenital syphilis,A syphilis that results_in a multisystem infection in the fetus via the placenta.,http://purl.obolibrary.org/obo/DOID_9856,sífilis congénita,Una sífilis que provoca_una una infección multisistémica en el feto a través de la placenta.,TRUE
http://purl.obolibrary.org/obo/DOID_0050534,congenital stationary night blindness,A hereditary night blindness that is characterized by hemeralopia with a moderate loss of visual acuity and caused by defective photoreceptor-to-bipolar cell signaling with common ERG findings of reduced or absent b-waves and generally normal a-waves.,http://purl.obolibrary.org/obo/DOID_0050534,ceguera nocturna estacionaria congénita,Una ceguera nocturna hereditaria que se caracteriza por hemeralopía con una pérdida moderada de agudeza visual y causada por una señalización defectuosa de los fotorreceptores a las células bipolares con hallazgos ERG comunes de ondas b reducidas o ausentes y ondas a generalmente normales.,TRUE
http://purl.obolibrary.org/obo/DOID_0050545,visceral heterotaxy,A physical disorder characterized by the abnormal distribution of the major visceral organs within the chest and abdomen.,http://purl.obolibrary.org/obo/DOID_0050545,heterotaxia visceral,Trastorno físico caracterizado por la distribución anormal de los principales órganos viscerales dentro del tórax y el abdomen.,TRUE
http://purl.obolibrary.org/obo/DOID_0050546,congenital adrenal insufficiency,"An adrenal gland disease that is characterized by cortisol deficiency, hypoaldosteronism and excessive or insufficient sex hormones, has_material_basis_in the mutation in the gene for 21-hydroxylase, 11beta-hydroxylase, 3beta-hydroxysteroid, 17alpha-hydroxylase or 20,22-desmolase.",http://purl.obolibrary.org/obo/DOID_0050546,insuficiencia suprarrenal congénita,"Enfermedad de la glándula suprarrenal que se caracteriza por deficiencia de cortisol, hipoaldosteronismo y exceso o insuficiencia de hormonas sexuales, tiene_su_base_material_en la mutación en el gen de la 21-hidroxilasa, 11beta-hidroxilasa, 3beta-hidroxiesteroide, 17alfa-hidroxilasa o 20,22-desmolasa.",TRUE
