class,label,def
http://purl.obolibrary.org/obo/DOID_0050328,congenital hypothyroidism,A hypothyroidism that is present at birth.
http://purl.obolibrary.org/obo/DOID_0080015,physical disorder,"A disease that has_material_basis_in a genetic abnormality, error with embryonic development, infection or compromised intrauterine environment."
http://purl.obolibrary.org/obo/DOID_0050453,lissencephaly,A congenital nervous system abnormality characterized by the absence of folds in the cerebral cortex and caused_by defective neuronal migration during the 12th to 24th weeks of gestation.
http://purl.obolibrary.org/obo/DOID_2490,congenital nervous system abnormality,
http://purl.obolibrary.org/obo/DOID_0050454,periventricular nodular heterotopia,A congenital nervous system abnormality characterized by non proper migration of neurons during the early development of the fetal brain.
http://purl.obolibrary.org/obo/DOID_0050488,early congenital syphilis,"A congenital syphilis that is manifested during the first 3 months of life. The infection has_symptom skin lesions, has_symptom lymphadenopathy, has_symptom hepatosplenomegaly, has_symptom failure to thrive, has_symptom blood-stained nasal discharge, has_symptom perioral fissures, has_symptom meningitis, has_symptom choroiditis, has_symptom hydrocephalus, has_symptom seizures, has_symptom intellectual disability, has_symptom osteochondritis, and has_symptom pseudoparalysis."
http://purl.obolibrary.org/obo/DOID_9856,congenital syphilis,A syphilis that results_in a multisystem infection in the fetus via the placenta.
http://purl.obolibrary.org/obo/DOID_0050534,congenital stationary night blindness,A hereditary night blindness that is characterized by hemeralopia with a moderate loss of visual acuity and caused by defective photoreceptor-to-bipolar cell signaling with common ERG findings of reduced or absent b-waves and generally normal a-waves.
http://purl.obolibrary.org/obo/DOID_0050545,visceral heterotaxy,A physical disorder characterized by the abnormal distribution of the major visceral organs within the chest and abdomen.
http://purl.obolibrary.org/obo/DOID_0050546,congenital adrenal insufficiency,"An adrenal gland disease that is characterized by cortisol deficiency, hypoaldosteronism and excessive or insufficient sex hormones, has_material_basis_in the mutation in the gene for 21-hydroxylase, 11beta-hydroxylase, 3beta-hydroxysteroid, 17alpha-hydroxylase or 20,22-desmolase."
http://purl.obolibrary.org/obo/DOID_0050557,congenital muscular dystrophy,"A muscular dystrophy that is characterized by diminished muscle tone (hypotonia), progressive muscle weakness and degeneration (atrophy), abnormally fixed joints, spinal rigidity, and delays in reaching motor milestones such as sitting or standing unassisted."
