clase,etiqueta,def
http://purl.obolibrary.org/obo/DOID_0050328,hipotiroidismo congénito,Un hipotiroidismo que está presente al nacer.
http://purl.obolibrary.org/obo/DOID_0080015,trastorno físico,"Una enfermedad que tiene_su_base_material_en una anomalía genética, un error con el desarrollo embrionario, una infección o un entorno intrauterino comprometido."
http://purl.obolibrary.org/obo/DOID_0050453,lisencefalia,Anomalía congénita del sistema nervioso caracterizada por la ausencia de pliegues en la corteza cerebral y causada_por una migración neuronal defectuosa durante las semanas 12 a 24 de gestación.
http://purl.obolibrary.org/obo/DOID_2490,anomalía congénita del sistema nervioso,NA
http://purl.obolibrary.org/obo/DOID_0050454,heterotopía nodular periventricular,Anomalía congénita del sistema nervioso caracterizada por la migración no adecuada de las neuronas durante el desarrollo temprano del cerebro fetal.
http://purl.obolibrary.org/obo/DOID_0050488,sífilis congénita precoz,"Una sífilis congénita que se manifiesta durante los 3 primeros meses de vida. La infección presenta lesiones cutáneas, linfadenopatía, hepatoesplenomegalia, retraso del crecimiento, secreción nasal sanguinolenta, fisuras periorales, meningitis, coroiditis, hidrocefalia, convulsiones, discapacidad intelectual, osteocondritis y pseudoparálisis."
http://purl.obolibrary.org/obo/DOID_9856,sífilis congénita,Una sífilis que provoca_una una infección multisistémica en el feto a través de la placenta.
http://purl.obolibrary.org/obo/DOID_0050534,ceguera nocturna estacionaria congénita,Una ceguera nocturna hereditaria que se caracteriza por hemeralopía con una pérdida moderada de agudeza visual y causada por una señalización defectuosa de los fotorreceptores a las células bipolares con hallazgos ERG comunes de ondas b reducidas o ausentes y ondas a generalmente normales.
http://purl.obolibrary.org/obo/DOID_0050545,heterotaxia visceral,Trastorno físico caracterizado por la distribución anormal de los principales órganos viscerales dentro del tórax y el abdomen.
http://purl.obolibrary.org/obo/DOID_0050546,insuficiencia suprarrenal congénita,"Enfermedad de la glándula suprarrenal que se caracteriza por deficiencia de cortisol, hipoaldosteronismo y exceso o insuficiencia de hormonas sexuales, tiene_su_base_material_en la mutación en el gen de la 21-hidroxilasa, 11beta-hidroxilasa, 3beta-hidroxiesteroide, 17alfa-hidroxilasa o 20,22-desmolasa."
http://purl.obolibrary.org/obo/DOID_0050557,distrofia muscular congénita,"Una distrofia muscular que se caracteriza por un tono muscular disminuido (hipotonía), debilidad muscular progresiva y degeneración (atrofia), articulaciones anormalmente fijas, rigidez espinal y retrasos en alcanzar hitos motores como sentarse o ponerse de pie sin ayuda."
http://purl.obolibrary.org/obo/DOID_0050558,Distrofia muscular congénita de Ullrich,"Una distrofia muscular congénita que se caracteriza por debilidad muscular y depresión respiratoria y tiene_su_base_material_en mutación en los COL6A1,COL6A2 y COL6A3 que producen componentes del colágeno tipo VI."
http://purl.obolibrary.org/obo/DOID_0050559,Distrofia muscular congénita de Fukuyama,"Una distrofia muscular congénita-distroglicanopatía tipo A que se caracteriza por debilidad muscular, retraso en el desarrollo, discapacidad intelectual y del desarrollo grave, problemas de visión y anomalías cardiacas y tiene_su_base_material_en mutación en el gen FKTN que produce la proteína fukutina."
http://purl.obolibrary.org/obo/DOID_0111229,distrofia muscular congénita-distroglicanopatía tipo A,"Una distrofia muscular congénita-distroglicanopatía caracterizada por lisencefalia en empedrado, debilidad muscular y anomalías cerebrales y oculares que tiene_su_base_material_en la herencia autosómica recesiva un defecto en el procesamiento postraduccional del alfa-distroglicano."
http://purl.obolibrary.org/obo/DOID_0050560,síndrome de Walker-Warburg,"Una distrofia muscular congénita que se caracteriza por hipotonía, convulsiones, discapacidad intelectual y del desarrollo grave, anomalías oculares y muerte prematura y tiene_su_base_material_en mutaciones en múltiples genes, incluidos POMT1,POMT2,ISPD, FKTN, FKRP y LARGE1."
http://purl.obolibrary.org/obo/DOID_0050567,hendidura orofacial,"Trastorno físico que se caracteriza por la presencia de labio leporino y/o paladar hendido que dan lugar a problemas de alimentación, habla y audición causados por fallos durante el desarrollo."
http://purl.obolibrary.org/obo/DOID_0050570,trastorno congénito de la glicosilación tipo I,Trastorno congénito de la glicosilación caracterizado por glicoproteínas séricas infraglucosiladas.
http://purl.obolibrary.org/obo/DOID_5212,trastorno congénito de la glicosilación,Trastorno metabólico de los hidratos de carbono que implica una glicosilación deficiente o defectuosa de diversas proteínas y/o lípidos tisulares.
http://purl.obolibrary.org/obo/DOID_0050571,trastorno congénito de la glicosilación tipo II,Un trastorno congénito de la glicosilación que implica un mal funcionamiento del recorte o procesamiento de la cadena de oligosacáridos unida a la proteína.
http://purl.obolibrary.org/obo/DOID_0050585,lipodistrofia generalizada congénita,"Una lipodistrofia que se caracteriza por una escasez extrema de grasa subcutánea, hipertrofia muscular, hígado graso, hipertrigliceridemia y complicaciones metabólicas, incluida la resistencia a la insulina."
