class,synonym,clase,sinónimo,class_match
http://purl.obolibrary.org/obo/DOID_0080015,congenital disorder,http://purl.obolibrary.org/obo/DOID_0080015,trastorno congénito,TRUE
http://purl.obolibrary.org/obo/DOID_2490,congenital neurologic anomaly,http://purl.obolibrary.org/obo/DOID_2490,anomalía neurológica congénita,TRUE
http://purl.obolibrary.org/obo/DOID_0050454,periventricular heterotopia,http://purl.obolibrary.org/obo/DOID_0050454,heterotopía periventricular,TRUE
http://purl.obolibrary.org/obo/DOID_0050534,congenital essential nyctalopia,http://purl.obolibrary.org/obo/DOID_0050534,nictalopía esencial congénita,TRUE
http://purl.obolibrary.org/obo/DOID_0050545,heterotaxia,http://purl.obolibrary.org/obo/DOID_0050545,heterotaxia,TRUE
http://purl.obolibrary.org/obo/DOID_0050545,situs ambiguus,http://purl.obolibrary.org/obo/DOID_0050545,situs ambiguus,TRUE
http://purl.obolibrary.org/obo/DOID_0050546,"ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE",http://purl.obolibrary.org/obo/DOID_0050546,"INSUFICIENCIA SUPRARRENAL, CONGÉNITA, CON INVERSIÓN DEL SEXO 46,XY, PARCIAL O COMPLETA",TRUE
http://purl.obolibrary.org/obo/DOID_0050546,"Adrenal insufficiency, congenital, with 46,XY sex reversal",http://purl.obolibrary.org/obo/DOID_0050546,"Insuficiencia suprarrenal, congénita, con inversión del sexo 46,XY",TRUE
http://purl.obolibrary.org/obo/DOID_0050546,P450scc DEFICIENCY,http://purl.obolibrary.org/obo/DOID_0050546,DEFICIENCIA DE P450scc,TRUE
http://purl.obolibrary.org/obo/DOID_0050558,ULLRICH DISEASE,http://purl.obolibrary.org/obo/DOID_0050558,ENFERMEDAD DE ULLRICH,TRUE
http://purl.obolibrary.org/obo/DOID_0050558,Ullrich scleroatonic muscular dystrophy,http://purl.obolibrary.org/obo/DOID_0050558,Distrofia muscular escleroatónica de Ullrich,TRUE
http://purl.obolibrary.org/obo/DOID_0111229,MDDGA,http://purl.obolibrary.org/obo/DOID_0111229,MDDGA,TRUE
http://purl.obolibrary.org/obo/DOID_0111229,congenital muscular alpha-dystroglycanopathy with brain and eye anomalies,http://purl.obolibrary.org/obo/DOID_0111229,alfa-distroglicanopatía muscular congénita con anomalías cerebrales y oculares,TRUE
http://purl.obolibrary.org/obo/DOID_0111229,klissencephaly type 2 with muscular and ocular involvement,http://purl.obolibrary.org/obo/DOID_0111229,lisencefalia tipo 2 con afectación muscular y ocular,TRUE
http://purl.obolibrary.org/obo/DOID_0050560,HARD syndrome,http://purl.obolibrary.org/obo/DOID_0050560,síndrome HARD,TRUE
http://purl.obolibrary.org/obo/DOID_0050560,cerebroocular dysplasia-muscular dystrophy syndrome,http://purl.obolibrary.org/obo/DOID_0050560,síndrome de displasia cerebro ocular-distrofia muscular,TRUE
http://purl.obolibrary.org/obo/DOID_5212,carbohydrate-deficient glycoprotein syndrome,http://purl.obolibrary.org/obo/DOID_5212,síndrome de glucoproteína deficiente en carbohidratos,TRUE
http://purl.obolibrary.org/obo/DOID_0050588,CMD due to dystroglycanopathy,http://purl.obolibrary.org/obo/DOID_0050588,CMD debida a distroglicanopatía,TRUE
http://purl.obolibrary.org/obo/DOID_0050588,Muscular dystrophy-dystroglycanopathy congenital with impaired intellectual development B1,http://purl.obolibrary.org/obo/DOID_0050588,Distrofia-distroglicanopatía muscular congénita con retraso del desarrollo intelectual B1,TRUE
http://purl.obolibrary.org/obo/DOID_0112375,MDDGB,http://purl.obolibrary.org/obo/DOID_0112375,MDDGB,TRUE
http://purl.obolibrary.org/obo/DOID_0050651,AVCD,http://purl.obolibrary.org/obo/DOID_0050651,AVCD,TRUE
http://purl.obolibrary.org/obo/DOID_0050651,AVSD,http://purl.obolibrary.org/obo/DOID_0050651,AVSD,TRUE
http://purl.obolibrary.org/obo/DOID_0050651,ECD,http://purl.obolibrary.org/obo/DOID_0050651,ECD,TRUE
http://purl.obolibrary.org/obo/DOID_0050651,atrioventricular canal defect,http://purl.obolibrary.org/obo/DOID_0050651,defecto del canal auriculoventricular,TRUE
http://purl.obolibrary.org/obo/DOID_0050651,endocardial cushion defect,http://purl.obolibrary.org/obo/DOID_0050651,defecto del cojín endocárdico,TRUE
http://purl.obolibrary.org/obo/DOID_1681,Cardiac septal defects,http://purl.obolibrary.org/obo/DOID_1681,Defectos septales cardíacos,TRUE
http://purl.obolibrary.org/obo/DOID_1681,Congenital septal defect of heart,http://purl.obolibrary.org/obo/DOID_1681,Defecto septal congénito del corazón,TRUE
http://purl.obolibrary.org/obo/DOID_1681,septal defect,http://purl.obolibrary.org/obo/DOID_1681,defecto septal,TRUE
http://purl.obolibrary.org/obo/DOID_0050663,benign congenital muscular dystrophy,http://purl.obolibrary.org/obo/DOID_0050663,distrofia muscular congénita benigna,TRUE
http://purl.obolibrary.org/obo/DOID_0050674,3-beta-hydroxy-delta-5-C27-steroid oxidoreductase deficiency,http://purl.obolibrary.org/obo/DOID_0050674,deficiencia de 3-beta-hidroxi-delta-5-C27-esteroide oxidorreductasa,TRUE
http://purl.obolibrary.org/obo/DOID_0050674,CBA,http://purl.obolibrary.org/obo/DOID_0050674,CBA,TRUE
http://purl.obolibrary.org/obo/DOID_0050674,cholestasis with delta(4)-3-oxosteroid-5-beta-reductase deficiency,http://purl.obolibrary.org/obo/DOID_0050674,colestasis con deficiencia de delta(4)-3-oxosteroide-5-beta-reductasa,TRUE
http://purl.obolibrary.org/obo/DOID_0050734,hereditary intrinsic factor deficiency,http://purl.obolibrary.org/obo/DOID_0050734,deficiencia hereditaria del factor intrínseco,TRUE
http://purl.obolibrary.org/obo/DOID_10907,Microcephalus,http://purl.obolibrary.org/obo/DOID_10907,Microcefalia,TRUE
http://purl.obolibrary.org/obo/DOID_10907,microencephaly,http://purl.obolibrary.org/obo/DOID_10907,microencefalia,TRUE
http://purl.obolibrary.org/obo/DOID_0050811,adrenal hyperplasia 1,http://purl.obolibrary.org/obo/DOID_0050811,hiperplasia suprarrenal 1,TRUE
http://purl.obolibrary.org/obo/DOID_0050811,congenital lipoid adrenal hyperplasia,http://purl.obolibrary.org/obo/DOID_0050811,hiperplasia suprarrenal lipoide congénita,TRUE
http://purl.obolibrary.org/obo/DOID_0050811,lipoid CAH,http://purl.obolibrary.org/obo/DOID_0050811,CAH lipoide,TRUE
http://purl.obolibrary.org/obo/DOID_0050813,CHONDRODYSPLASIA WITH MULTIPLE DISLOCATIONS,http://purl.obolibrary.org/obo/DOID_0050813,CONDRODISPLASIA CON DISLOCACIONES MÚLTIPLES,TRUE
http://purl.obolibrary.org/obo/DOID_0050813,CHST3-Related Skeletal Dysplasia,http://purl.obolibrary.org/obo/DOID_0050813,Displasia esquelética relacionada con CHST3,TRUE
http://purl.obolibrary.org/obo/DOID_0050813,Humero-spinal dysostosis with congenital heart disease,http://purl.obolibrary.org/obo/DOID_0050813,Disostosis húmero-espinal con cardiopatía congénita,TRUE
http://purl.obolibrary.org/obo/DOID_0050813,Kozlowski Celermajer Tink syndrome,http://purl.obolibrary.org/obo/DOID_0050813,síndrome de Kozlowski Celermajer Tink,TRUE
http://purl.obolibrary.org/obo/DOID_0050813,Omani Type,http://purl.obolibrary.org/obo/DOID_0050813,Tipo omaní,TRUE
http://purl.obolibrary.org/obo/DOID_0050813,Spondyloepiphyseal Dysplasia,http://purl.obolibrary.org/obo/DOID_0050813,Displasia espondiloepifisaria,TRUE
http://purl.obolibrary.org/obo/DOID_0050813,humero-spinal dysostosis,http://purl.obolibrary.org/obo/DOID_0050813,disostosis húmero-espinal,TRUE
http://purl.obolibrary.org/obo/DOID_0050813,humerospinal dysostosis,http://purl.obolibrary.org/obo/DOID_0050813,disostosis humero espinal,TRUE
http://purl.obolibrary.org/obo/DOID_0060259,Ivemark's syndrome,http://purl.obolibrary.org/obo/DOID_0060259,síndrome de Ivemark,TRUE
http://purl.obolibrary.org/obo/DOID_0060285,Caitlin marks,http://purl.obolibrary.org/obo/DOID_0060285,Caitlin marca,TRUE
http://purl.obolibrary.org/obo/DOID_0060285,enlarged parietal foramina,http://purl.obolibrary.org/obo/DOID_0060285,forámenes parietales agrandados,TRUE
http://purl.obolibrary.org/obo/DOID_0060285,hereditary cranium bifidum,http://purl.obolibrary.org/obo/DOID_0060285,cráneo bífido hereditario,TRUE
http://purl.obolibrary.org/obo/DOID_0060296,congenital chloride diarrhea finnish type,http://purl.obolibrary.org/obo/DOID_0060296,diarrea congénita por cloruros tipo finlandés,TRUE
http://purl.obolibrary.org/obo/DOID_0060296,congenital chloride diarrhoea finnish type,http://purl.obolibrary.org/obo/DOID_0060296,diarrea congénita por cloruros tipo finlandés,TRUE
http://purl.obolibrary.org/obo/DOID_0060296,congenital chloridorrhea,http://purl.obolibrary.org/obo/DOID_0060296,clorhidrorrea congénita,TRUE
http://purl.obolibrary.org/obo/DOID_0060296,congenital secretory chloride diarrhoea 1,http://purl.obolibrary.org/obo/DOID_0060296,diarrea clorurada secretora congénita 1,TRUE
http://purl.obolibrary.org/obo/DOID_0060327,omphalocoele,http://purl.obolibrary.org/obo/DOID_0060327,onfalocele,TRUE
