class,syn
http://purl.obolibrary.org/obo/DOID_0080015,congenital disorder
http://purl.obolibrary.org/obo/DOID_2490,congenital neurologic anomaly
http://purl.obolibrary.org/obo/DOID_0050454,periventricular heterotopia
http://purl.obolibrary.org/obo/DOID_0050534,congenital essential nyctalopia
http://purl.obolibrary.org/obo/DOID_0050545,heterotaxia
http://purl.obolibrary.org/obo/DOID_0050545,situs ambiguus
http://purl.obolibrary.org/obo/DOID_0050546,"ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE"
http://purl.obolibrary.org/obo/DOID_0050546,"Adrenal insufficiency, congenital, with 46,XY sex reversal"
http://purl.obolibrary.org/obo/DOID_0050546,P450scc DEFICIENCY
http://purl.obolibrary.org/obo/DOID_0050558,ULLRICH DISEASE
http://purl.obolibrary.org/obo/DOID_0050558,Ullrich scleroatonic muscular dystrophy
http://purl.obolibrary.org/obo/DOID_0111229,MDDGA
http://purl.obolibrary.org/obo/DOID_0111229,congenital muscular alpha-dystroglycanopathy with brain and eye anomalies
http://purl.obolibrary.org/obo/DOID_0111229,klissencephaly type 2 with muscular and ocular involvement
http://purl.obolibrary.org/obo/DOID_0050560,HARD syndrome
http://purl.obolibrary.org/obo/DOID_0050560,cerebroocular dysplasia-muscular dystrophy syndrome
http://purl.obolibrary.org/obo/DOID_5212,carbohydrate-deficient glycoprotein syndrome
http://purl.obolibrary.org/obo/DOID_0050588,CMD due to dystroglycanopathy
http://purl.obolibrary.org/obo/DOID_0050588,Muscular dystrophy-dystroglycanopathy congenital with impaired intellectual development B1
http://purl.obolibrary.org/obo/DOID_0112375,MDDGB
http://purl.obolibrary.org/obo/DOID_0050651,AVCD
http://purl.obolibrary.org/obo/DOID_0050651,AVSD
http://purl.obolibrary.org/obo/DOID_0050651,ECD
http://purl.obolibrary.org/obo/DOID_0050651,atrioventricular canal defect
http://purl.obolibrary.org/obo/DOID_0050651,endocardial cushion defect
http://purl.obolibrary.org/obo/DOID_1681,Cardiac septal defects
http://purl.obolibrary.org/obo/DOID_1681,Congenital septal defect of heart
http://purl.obolibrary.org/obo/DOID_1681,septal defect
http://purl.obolibrary.org/obo/DOID_0050663,benign congenital muscular dystrophy
http://purl.obolibrary.org/obo/DOID_0050674,3-beta-hydroxy-delta-5-C27-steroid oxidoreductase deficiency
http://purl.obolibrary.org/obo/DOID_0050674,CBA
http://purl.obolibrary.org/obo/DOID_0050674,cholestasis with delta(4)-3-oxosteroid-5-beta-reductase deficiency
http://purl.obolibrary.org/obo/DOID_0050734,hereditary intrinsic factor deficiency
http://purl.obolibrary.org/obo/DOID_10907,Microcephalus
http://purl.obolibrary.org/obo/DOID_10907,microencephaly
http://purl.obolibrary.org/obo/DOID_0050811,adrenal hyperplasia 1
http://purl.obolibrary.org/obo/DOID_0050811,congenital lipoid adrenal hyperplasia
http://purl.obolibrary.org/obo/DOID_0050811,lipoid CAH
http://purl.obolibrary.org/obo/DOID_0050813,CHONDRODYSPLASIA WITH MULTIPLE DISLOCATIONS
http://purl.obolibrary.org/obo/DOID_0050813,CHST3-Related Skeletal Dysplasia
http://purl.obolibrary.org/obo/DOID_0050813,Humero-spinal dysostosis with congenital heart disease
http://purl.obolibrary.org/obo/DOID_0050813,Kozlowski Celermajer Tink syndrome
http://purl.obolibrary.org/obo/DOID_0050813,Omani Type
http://purl.obolibrary.org/obo/DOID_0050813,Spondyloepiphyseal Dysplasia
http://purl.obolibrary.org/obo/DOID_0050813,humero-spinal dysostosis
http://purl.obolibrary.org/obo/DOID_0050813,humerospinal dysostosis
http://purl.obolibrary.org/obo/DOID_0060259,Ivemark's syndrome
http://purl.obolibrary.org/obo/DOID_0060285,Caitlin marks
http://purl.obolibrary.org/obo/DOID_0060285,enlarged parietal foramina
http://purl.obolibrary.org/obo/DOID_0060285,hereditary cranium bifidum
http://purl.obolibrary.org/obo/DOID_0060296,congenital chloride diarrhea finnish type
http://purl.obolibrary.org/obo/DOID_0060296,congenital chloride diarrhoea finnish type
http://purl.obolibrary.org/obo/DOID_0060296,congenital chloridorrhea
http://purl.obolibrary.org/obo/DOID_0060296,congenital secretory chloride diarrhoea 1
http://purl.obolibrary.org/obo/DOID_0060327,omphalocoele
http://purl.obolibrary.org/obo/DOID_0060341,agnathia-holoprosencephaly-situs inversus syndrome
http://purl.obolibrary.org/obo/DOID_0060341,dysgnathia complex agnathia-holoprosencephaly
http://purl.obolibrary.org/obo/DOID_0060341,holoprosencephaly-agnathia
http://purl.obolibrary.org/obo/DOID_0060341,otocephaly
http://purl.obolibrary.org/obo/DOID_0060445,CSCD
http://purl.obolibrary.org/obo/DOID_0060445,congenital hereditary stromal dystrophy
http://purl.obolibrary.org/obo/DOID_0060559,LCCS1
http://purl.obolibrary.org/obo/DOID_0060559,"multiple contracture syndrome, Finnish type"
http://purl.obolibrary.org/obo/DOID_0060560,LCCS2
http://purl.obolibrary.org/obo/DOID_0060560,"multiple contracture syndrome, Israeli-Bedouin type"
http://purl.obolibrary.org/obo/DOID_13832,Patent ductus Botalli
