clase, syn,,,,
http://purl.obolibrary.org/obo/DOID_0080015,trastorno congénito,,,,
http://purl.obolibrary.org/obo/DOID_2490,anomalía neurológica congénita,,,,
http://purl.obolibrary.org/obo/DOID_0050454,heterotopía periventricular,,,,
http://purl.obolibrary.org/obo/DOID_0050534,nictalopía esencial congénita,,,,
http://purl.obolibrary.org/obo/DOID_0050545,heterotaxia,,,,
http://purl.obolibrary.org/obo/DOID_0050545,situs ambiguus,,,,
http://purl.obolibrary.org/obo/DOID_0050546,“INSUFICIENCIA SUPRARRENAL, CONGÉNITA, CON INVERSIÓN DEL SEXO 46,XY, PARCIAL O COMPLETA”
http://purl.obolibrary.org/obo/DOID_0050546,“Insuficiencia suprarrenal, congénita, con inversión del sexo 46,XY”,
http://purl.obolibrary.org/obo/DOID_0050546,DEFICIENCIA DE P450scc,,,,
http://purl.obolibrary.org/obo/DOID_0050558,ENFERMEDAD DE ULLRICH,,,,
http://purl.obolibrary.org/obo/DOID_0050558,Distrofia muscular escleroatónica de Ullrich,,,,
http://purl.obolibrary.org/obo/DOID_0111229,MDDGA,,,,
http://purl.obolibrary.org/obo/DOID_0111229,alfa-distroglicanopatía muscular congénita con anomalías cerebrales y oculares,,,,
http://purl.obolibrary.org/obo/DOID_0111229,lisencefalia tipo 2 con afectación muscular y ocular,,,,
http://purl.obolibrary.org/obo/DOID_0050560,síndrome HARD,,,,
http://purl.obolibrary.org/obo/DOID_0050560,síndrome de displasia cerebro ocular-distrofia muscular,,,,
http://purl.obolibrary.org/obo/DOID_5212,síndrome de glucoproteína deficiente en carbohidratos,,,,
http://purl.obolibrary.org/obo/DOID_0050588,CMD debida a distroglicanopatía,,,,
http://purl.obolibrary.org/obo/DOID_0050588,Distrofia-distroglicanopatía muscular congénita con retraso del desarrollo intelectual B1,,,,
http://purl.obolibrary.org/obo/DOID_0112375,MDDGB,,,,
http://purl.obolibrary.org/obo/DOID_0050651,AVCD,,,,
http://purl.obolibrary.org/obo/DOID_0050651,AVSD,,,,
http://purl.obolibrary.org/obo/DOID_0050651,ECD,,,,
http://purl.obolibrary.org/obo/DOID_0050651,defecto del canal auriculoventricular,,,,
http://purl.obolibrary.org/obo/DOID_0050651,defecto del cojín endocárdico,,,,
http://purl.obolibrary.org/obo/DOID_1681,Defectos septales cardíacos,,,,
http://purl.obolibrary.org/obo/DOID_1681,Defecto septal congénito del corazón,,,,
http://purl.obolibrary.org/obo/DOID_1681,defecto septal,,,,
http://purl.obolibrary.org/obo/DOID_0050663,distrofia muscular congénita benigna,,,,
http://purl.obolibrary.org/obo/DOID_0050674,deficiencia de 3-beta-hidroxi-delta-5-C27-esteroide oxidorreductasa,,,,
http://purl.obolibrary.org/obo/DOID_0050674,CBA,,,,
http://purl.obolibrary.org/obo/DOID_0050674,colestasis con deficiencia de delta(4)-3-oxosteroide-5-beta-reductasa,,,,
http://purl.obolibrary.org/obo/DOID_0050734,deficiencia hereditaria del factor intrínseco,,,,
http://purl.obolibrary.org/obo/DOID_10907,Microcefalia,,,,
http://purl.obolibrary.org/obo/DOID_10907,microencefalia,,,,
http://purl.obolibrary.org/obo/DOID_0050811,hiperplasia suprarrenal 1,,,,
http://purl.obolibrary.org/obo/DOID_0050811,hiperplasia suprarrenal lipoide congénita,,,,
http://purl.obolibrary.org/obo/DOID_0050811,CAH lipoide,,,,
http://purl.obolibrary.org/obo/DOID_0050813,CONDRODISPLASIA CON DISLOCACIONES MÚLTIPLES,,,,
http://purl.obolibrary.org/obo/DOID_0050813,Displasia esquelética relacionada con CHST3,,,,
http://purl.obolibrary.org/obo/DOID_0050813,Disostosis húmero-espinal con cardiopatía congénita,,,,
http://purl.obolibrary.org/obo/DOID_0050813,síndrome de Kozlowski Celermajer Tink,,,,
http://purl.obolibrary.org/obo/DOID_0050813,Tipo omaní,,,,
http://purl.obolibrary.org/obo/DOID_0050813,Displasia espondiloepifisaria,,,,
http://purl.obolibrary.org/obo/DOID_0050813,disostosis húmero-espinal,,,,
http://purl.obolibrary.org/obo/DOID_0050813,disostosis humero espinal,,,,
http://purl.obolibrary.org/obo/DOID_0060259,síndrome de Ivemark,,,,
http://purl.obolibrary.org/obo/DOID_0060285,Caitlin marca,,,,
http://purl.obolibrary.org/obo/DOID_0060285,forámenes parietales agrandados,,,,
http://purl.obolibrary.org/obo/DOID_0060285,cráneo bífido hereditario,,,,
http://purl.obolibrary.org/obo/DOID_0060296,diarrea congénita por cloruros tipo finlandés,,,,
http://purl.obolibrary.org/obo/DOID_0060296,diarrea congénita por cloruros tipo finlandés,,,,
http://purl.obolibrary.org/obo/DOID_0060296,clorhidrorrea congénita,,,,
http://purl.obolibrary.org/obo/DOID_0060296,diarrea clorurada secretora congénita 1,,,,
http://purl.obolibrary.org/obo/DOID_0060327,onfalocele,,,,
http://purl.obolibrary.org/obo/DOID_0060341,síndrome de agnatia holoprosencefalia-situs inversus,,,,
http://purl.obolibrary.org/obo/DOID_0060341,disgnasia compleja agnatia-holoprosencefalia,,,,
http://purl.obolibrary.org/obo/DOID_0060341,holoprosencefalia-agnatia,,,,
http://purl.obolibrary.org/obo/DOID_0060341,otocefalia,,,,
