class,label,def
http://purl.obolibrary.org/obo/DOID_4,disease,A disease is a disposition (i) to undergo pathological processes that (ii) exists in an organism because of one or more disorders in that organism.
http://purl.obolibrary.org/obo/DOID_0001816,angiosarcoma,A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.
http://purl.obolibrary.org/obo/DOID_175,vascular cancer,A cardiovascular cancer that is located_in blood vessels.
http://purl.obolibrary.org/obo/DOID_0002116,pterygium,A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.
http://purl.obolibrary.org/obo/DOID_10124,corneal disease,"An eye disease that affects the cornea, which is the transparent surface of the eye that assists in light refraction."
http://purl.obolibrary.org/obo/DOID_0014667,disease of metabolism,A disease that involving errors in metabolic processes of building or degradation of molecules.
http://purl.obolibrary.org/obo/DOID_0040001,shrimp allergy,A crustacean allergy that has_allergic_trigger shrimp.
http://purl.obolibrary.org/obo/DOID_0060524,crustacean allergy,A shellfish allergy triggered by Crustacea.
http://purl.obolibrary.org/obo/DOID_0040002,aspirin allergy,A drug allergy that has_allergic_trigger acetylsalicylic acid.
http://purl.obolibrary.org/obo/DOID_0060500,drug allergy,An allergic disease that is triggered by a drug.
http://purl.obolibrary.org/obo/DOID_0040003,benzylpenicillin allergy,A beta-lactam allergy that has_allergic_trigger benzylpenicillin.
http://purl.obolibrary.org/obo/DOID_0060519,beta-lactam allergy,A drug allergy triggered by a beta-lactam.
http://purl.obolibrary.org/obo/DOID_0040004,amoxicillin allergy,A beta-lactam allergy that has_allergic_trigger amoxicillin.
http://purl.obolibrary.org/obo/DOID_0040005,ceftriaxone allergy,A cephalosporin allergy that has_allergic_trigger ceftriaxone.
http://purl.obolibrary.org/obo/DOID_0040021,cephalosporin allergy,A drug allergy that has_allergic_trigger cephalosporin.
http://purl.obolibrary.org/obo/DOID_0040006,carbamazepine allergy,A drug allergy that has_allergic_trigger carbamazepine.
http://purl.obolibrary.org/obo/DOID_0040007,abacavir allergy,A drug allergy that has_allergic_trigger abacavir.
http://purl.obolibrary.org/obo/DOID_0040008,isoniazide allergy,A drug allergy that has_allergic_trigger isoniazide.
http://purl.obolibrary.org/obo/DOID_0040009,lidocaine allergy,A drug allergy that has_allergic_trigger lidocaine.
http://purl.obolibrary.org/obo/DOID_0040010,mepivacaine allergy,A drug allergy that has_allergic_trigger mepivacaine.
http://purl.obolibrary.org/obo/DOID_0040011,phenobarbital allergy,A drug allergy that has_allergic_trigger phenobarbital.
http://purl.obolibrary.org/obo/DOID_0040012,phenytoin allergy,A drug allergy that has_allergic_trigger phenytoin.
http://purl.obolibrary.org/obo/DOID_0040013,ranitidine allergy,A drug allergy that has_allergic_trigger ranitidine.
http://purl.obolibrary.org/obo/DOID_0040014,corticosteroid allergy,A drug allergy that has_allergic_trigger corticosteroid.
http://purl.obolibrary.org/obo/DOID_0040015,sulfonamide allergy,A drug allergy that has_allergic_trigger sulfonamide.
http://purl.obolibrary.org/obo/DOID_0040016,sulfamethoxazole allergy,A drug allergy that has_allergic_trigger sulfamethoxazole.
http://purl.obolibrary.org/obo/DOID_0040017,suprofen allergy,A drug allergy that has_allergic_trigger suprofen.
http://purl.obolibrary.org/obo/DOID_0040018,thiopental allergy,A drug allergy that has_allergic_trigger thiopental.
http://purl.obolibrary.org/obo/DOID_0040019,D-mannitol allergy,A drug allergy that has_allergic_trigger D-mannitol.
