clase,syn
http://purl.obolibrary.org/obo/DOID_0001816,hemangiosarcoma
http://purl.obolibrary.org/obo/DOID_175,tumor de los vasos sanguíneos
http://purl.obolibrary.org/obo/DOID_175,tumores de los vasos sanguíneos
http://purl.obolibrary.org/obo/DOID_175,trastorno tumoral de los vasos sanguíneos
http://purl.obolibrary.org/obo/DOID_175,tumor hemangiomatoso
http://purl.obolibrary.org/obo/DOID_175,neoplasia de los vasos sanguíneos
http://purl.obolibrary.org/obo/DOID_175,leiomiosarcoma de la vena renal
http://purl.obolibrary.org/obo/DOID_175,tumor maligno de grandes vasos
http://purl.obolibrary.org/obo/DOID_175,tumor maligno de la vena pulmonar
http://purl.obolibrary.org/obo/DOID_175,tumor maligno de la arteria pulmonar
http://purl.obolibrary.org/obo/DOID_175,neoplasia vascular maligna
http://purl.obolibrary.org/obo/DOID_175,tumor vascular maligno
http://purl.obolibrary.org/obo/DOID_175,neoplasia de grandes vasos
http://purl.obolibrary.org/obo/DOID_175,neoplasia maligna de la arteria pulmonar
http://purl.obolibrary.org/obo/DOID_175,neoplasia maligna de la vena pulmonar
http://purl.obolibrary.org/obo/DOID_175,leiomiosarcoma de vena renal
http://purl.obolibrary.org/obo/DOID_175,neoplasia del tejido vascular
http://purl.obolibrary.org/obo/DOID_175,tumores vasculares
http://purl.obolibrary.org/obo/DOID_0002116,ojo de surfista
http://purl.obolibrary.org/obo/DOID_0014667,enfermedad metabólica
http://purl.obolibrary.org/obo/DOID_0040002,alergia al ASA
http://purl.obolibrary.org/obo/DOID_0040002,alergia al ácido acetilsalicílico
http://purl.obolibrary.org/obo/DOID_0040003,alergia a la bencilpenicilina
http://purl.obolibrary.org/obo/DOID_0040003,alergia a la penicilina G
http://purl.obolibrary.org/obo/DOID_0040005,alergia al Rocephin
http://purl.obolibrary.org/obo/DOID_0040006,alergia al Tegretol
http://purl.obolibrary.org/obo/DOID_0040006,alergia a la carbamazepina
http://purl.obolibrary.org/obo/DOID_0040007,alergia al ABC
http://purl.obolibrary.org/obo/DOID_0040008,alergia a la INH
http://purl.obolibrary.org/obo/DOID_0040008,alergia a la isonicotinilhidrazida
http://purl.obolibrary.org/obo/DOID_0040009,alergia al Lidoderm
http://purl.obolibrary.org/obo/DOID_0040009,alergia a la lignocaína
http://purl.obolibrary.org/obo/DOID_0040009,alergia a la xilocaína
http://purl.obolibrary.org/obo/DOID_0040010,alergia a la Carbocaína
http://purl.obolibrary.org/obo/DOID_0040010,alergia a la Polocaína
http://purl.obolibrary.org/obo/DOID_0040011,alergia al Luminal
http://purl.obolibrary.org/obo/DOID_0040011,alergia al fenobarbital
http://purl.obolibrary.org/obo/DOID_0040011,alergia a la fenobarbitona
http://purl.obolibrary.org/obo/DOID_0040012,alergia al Dilantín
http://purl.obolibrary.org/obo/DOID_0040013,alergia al Zantac
http://purl.obolibrary.org/obo/DOID_0040016,alergia al SMX
http://purl.obolibrary.org/obo/DOID_0040016,alergia al SMZ
http://purl.obolibrary.org/obo/DOID_0040016,alergia al sulfametoxazol
http://purl.obolibrary.org/obo/DOID_0040017,alergia al Profenal
http://purl.obolibrary.org/obo/DOID_0040018,alergia al penthiobarbital
http://purl.obolibrary.org/obo/DOID_0040018,alergia al pentotiobarbital
http://purl.obolibrary.org/obo/DOID_0040019,alergia al manitol
http://purl.obolibrary.org/obo/DOID_0040022,alergia al Camoquín
http://purl.obolibrary.org/obo/DOID_0040022,alergia a la Flavoquina
http://purl.obolibrary.org/obo/DOID_0040023,alergia al Ceclor
http://purl.obolibrary.org/obo/DOID_0040023,alergia al cefaclor
http://purl.obolibrary.org/obo/DOID_0040024,alergia al Fortaz
http://purl.obolibrary.org/obo/DOID_0040024,alergia al Tazicef
http://purl.obolibrary.org/obo/DOID_0040025,alergia al Zinacef
http://purl.obolibrary.org/obo/DOID_0040025,alergia a la cefuroxima
http://purl.obolibrary.org/obo/DOID_0040027,alergia al citofosfano
http://purl.obolibrary.org/obo/DOID_0040028,alergia al succinato de dicolina
http://purl.obolibrary.org/obo/DOID_0040028,alergia a la succinocolina
http://purl.obolibrary.org/obo/DOID_0040028,alergia a la suxi
http://purl.obolibrary.org/obo/DOID_0040028,alergia al suxametonio
http://purl.obolibrary.org/obo/DOID_0040029,alergia al Primsol
http://purl.obolibrary.org/obo/DOID_0040029,alergia al TMP
http://purl.obolibrary.org/obo/DOID_0040029,alergia a Proloprim
http://purl.obolibrary.org/obo/DOID_0040031,alergia al Voltarén
http://purl.obolibrary.org/obo/DOID_0040034,alergia al Esmerón
http://purl.obolibrary.org/obo/DOID_0040034,alergia al Zemurón
http://purl.obolibrary.org/obo/DOID_0040036,alergia a la DTC
http://purl.obolibrary.org/obo/DOID_0040037,alergia al Azactam
http://purl.obolibrary.org/obo/DOID_0040037,alergia al Primbactam
http://purl.obolibrary.org/obo/DOID_0040038,alergia al Merrem
http://purl.obolibrary.org/obo/DOID_9415,asma extrínseca con exacerbación aguda
http://purl.obolibrary.org/obo/DOID_9415,asma extrínseca con estado asmático
http://purl.obolibrary.org/obo/DOID_9415,asma atópica
http://purl.obolibrary.org/obo/DOID_0040040,asma alérgica al HDI
http://purl.obolibrary.org/obo/DOID_0040040,asma alérgica al HMDI
http://purl.obolibrary.org/obo/DOID_0040042,asma alérgica al MDI
http://purl.obolibrary.org/obo/DOID_0040043,asma alérgica al TDI
http://purl.obolibrary.org/obo/DOID_0040044,asma alérgica al MIC
http://purl.obolibrary.org/obo/DOID_0040045,asma alérgica al Ni
http://purl.obolibrary.org/obo/DOID_0040046,dermatitis de contacto alérgica al Ni
http://purl.obolibrary.org/obo/DOID_0040047,asma alérgica al TMA
http://purl.obolibrary.org/obo/DOID_0040049,asma alérgica al MA
http://purl.obolibrary.org/obo/DOID_0040051,asma alérgica al HHPA
http://purl.obolibrary.org/obo/DOID_0040052,dermatitis de contacto alérgica al MDI
http://purl.obolibrary.org/obo/DOID_0040053,dermatitis de contacto alérgica al Co
http://purl.obolibrary.org/obo/DOID_0040054,asma alérgica al Co
http://purl.obolibrary.org/obo/DOID_0040055,dermatitis de contacto alérgica al Pd
http://purl.obolibrary.org/obo/DOID_0040057,dermatitis de contacto alérgica al benzoato
http://purl.obolibrary.org/obo/DOID_0040058,dermatitis de contacto alérgica a la PPD
http://purl.obolibrary.org/obo/DOID_0040058,dermatitis de contacto alérgica a la parafenilendiamina
http://purl.obolibrary.org/obo/DOID_0040060,dermatitis fotoalérgica al Orudis
http://purl.obolibrary.org/obo/DOID_3818,dermatitis de contacto fotoalérgica
http://purl.obolibrary.org/obo/DOID_3818,eccema fotoalérgico
http://purl.obolibrary.org/obo/DOID_0040061,alergia respiratoria al Negro Reactivo 5
http://purl.obolibrary.org/obo/DOID_0060496,alergia de vías aéreas
http://purl.obolibrary.org/obo/DOID_0040062,alergia respiratoria a la Cloraseptina
http://purl.obolibrary.org/obo/DOID_0040062,alergia respiratoria al Clorazol
http://purl.obolibrary.org/obo/DOID_0040062,alergia respiratoria al Triclorol
http://purl.obolibrary.org/obo/DOID_0040063,alergia respiratoria al diepóxido de vinilciclohexeno
http://purl.obolibrary.org/obo/DOID_0040064,dermatitis de contacto alérgica a la levo-carvona
http://purl.obolibrary.org/obo/DOID_0040065,alergia al Kinidín
http://purl.obolibrary.org/obo/DOID_0040066,alergia al Alkerán
http://purl.obolibrary.org/obo/DOID_0040067,dermatitis de contacto alérgica al sulfato de neomicina
http://purl.obolibrary.org/obo/DOID_0040068,dermatitis de contacto alérgica al PTBP
http://purl.obolibrary.org/obo/DOID_0040068,dermatitis de contacto alérgica al butilfeno
http://purl.obolibrary.org/obo/DOID_0040069,dermatitis de contacto alérgica al DNCB
http://purl.obolibrary.org/obo/DOID_0040069,dermatitis de contacto alérgica al dinitroclorobenceno
http://purl.obolibrary.org/obo/DOID_0040070,alergia al Bactrim
http://purl.obolibrary.org/obo/DOID_0040070,Alergia al TMP/SMX
http://purl.obolibrary.org/obo/DOID_0040070,alergia al cotrimoxazol
http://purl.obolibrary.org/obo/DOID_0040070,alergia al trimetoprim/sulfametoxazol
http://purl.obolibrary.org/obo/DOID_0040071,alergia al tiomalato sódico de oro
http://purl.obolibrary.org/obo/DOID_0040072,dermatitis de contacto alérgica a la matricaria
http://purl.obolibrary.org/obo/DOID_0040073,alergia al DSCG
http://purl.obolibrary.org/obo/DOID_0040074,dermatitis de contacto alérgica a la formalina
http://purl.obolibrary.org/obo/DOID_0040075,dermatitis de contacto alérgica a la BIT
http://purl.obolibrary.org/obo/DOID_0040075,dermatitis de contacto alérgica a la benzisotiazolona
http://purl.obolibrary.org/obo/DOID_0040076,alergia ftálica
http://purl.obolibrary.org/obo/DOID_0040079,dermatitis de contacto alérgica al DNP
http://purl.obolibrary.org/obo/DOID_0040082,alergia al ETO
http://purl.obolibrary.org/obo/DOID_0040082,alergia al óxido de etileno
http://purl.obolibrary.org/obo/DOID_874,neumonía causada por otras bacterias gramnegativas
http://purl.obolibrary.org/obo/DOID_874,neumonía gramnegativa
http://purl.obolibrary.org/obo/DOID_0040086,NAPV
http://purl.obolibrary.org/obo/DOID_0040086,nefropatía asociada al poliomavirus
http://purl.obolibrary.org/obo/DOID_11266,FHSR
http://purl.obolibrary.org/obo/DOID_11266,fiebre hemorrágica rusa
http://purl.obolibrary.org/obo/DOID_11266,nefrosonefritis hemorrágica
