class,syn
http://purl.obolibrary.org/obo/DOID_0001816,hemangiosarcoma
http://purl.obolibrary.org/obo/DOID_175,Blood vessel tumor
http://purl.obolibrary.org/obo/DOID_175,Blood vessel tumors
http://purl.obolibrary.org/obo/DOID_175,Blood vessel tumour disorder
http://purl.obolibrary.org/obo/DOID_175,Haemangiomatous tumour
http://purl.obolibrary.org/obo/DOID_175,blood vessel neoplasm
http://purl.obolibrary.org/obo/DOID_175,leiomyosarcoma of the renal Vein
http://purl.obolibrary.org/obo/DOID_175,malignant great vessel tumor
http://purl.obolibrary.org/obo/DOID_175,malignant tumor of pulmonary Vein
http://purl.obolibrary.org/obo/DOID_175,malignant tumor of pulmonary artery
http://purl.obolibrary.org/obo/DOID_175,malignant vascular neoplasm
http://purl.obolibrary.org/obo/DOID_175,malignant vascular tumor
http://purl.obolibrary.org/obo/DOID_175,neoplasm of great vessel
http://purl.obolibrary.org/obo/DOID_175,pulmonary artery malignant neoplasm
http://purl.obolibrary.org/obo/DOID_175,pulmonary vein malignant neoplasm
http://purl.obolibrary.org/obo/DOID_175,renal vein leiomyosarcoma
http://purl.obolibrary.org/obo/DOID_175,vascular tissue neoplasm
http://purl.obolibrary.org/obo/DOID_175,vascular tumors
http://purl.obolibrary.org/obo/DOID_0002116,surfer's eye
http://purl.obolibrary.org/obo/DOID_0014667,metabolic disease
http://purl.obolibrary.org/obo/DOID_0040002,ASA allergy
http://purl.obolibrary.org/obo/DOID_0040002,acetylsalicylic acid allergy
http://purl.obolibrary.org/obo/DOID_0040003,benzyl penicillin allergy
http://purl.obolibrary.org/obo/DOID_0040003,penicillin G allergy
http://purl.obolibrary.org/obo/DOID_0040005,rocephin allergy
http://purl.obolibrary.org/obo/DOID_0040006,Tegretol allergy
http://purl.obolibrary.org/obo/DOID_0040006,carbamazepen allergy
http://purl.obolibrary.org/obo/DOID_0040007,ABC allergy
http://purl.obolibrary.org/obo/DOID_0040008,INH allergy
http://purl.obolibrary.org/obo/DOID_0040008,isonicotinylhydrazide allergy
http://purl.obolibrary.org/obo/DOID_0040009,Lidoderm allergy
http://purl.obolibrary.org/obo/DOID_0040009,lignocaine allergy
http://purl.obolibrary.org/obo/DOID_0040009,xylocaine allergy
http://purl.obolibrary.org/obo/DOID_0040010,Carbocaine allergy
http://purl.obolibrary.org/obo/DOID_0040010,Polocaine allergy
http://purl.obolibrary.org/obo/DOID_0040011,Luminal allergy
http://purl.obolibrary.org/obo/DOID_0040011,phenobarbitol allergy
http://purl.obolibrary.org/obo/DOID_0040011,phenobarbitone allergy
http://purl.obolibrary.org/obo/DOID_0040012,Dilantin allergy
http://purl.obolibrary.org/obo/DOID_0040013,Zantac allergy
http://purl.obolibrary.org/obo/DOID_0040016,SMX allergy
http://purl.obolibrary.org/obo/DOID_0040016,SMZ allergy
http://purl.obolibrary.org/obo/DOID_0040016,sulphamethoxazole allergy
http://purl.obolibrary.org/obo/DOID_0040017,Profenal allergy
http://purl.obolibrary.org/obo/DOID_0040018,penthiobarbital allergy
http://purl.obolibrary.org/obo/DOID_0040018,pentothiobarbital allergy
http://purl.obolibrary.org/obo/DOID_0040019,mannitol allergy
http://purl.obolibrary.org/obo/DOID_0040022,Camoquin allergy
http://purl.obolibrary.org/obo/DOID_0040022,Flavoquine allergy
http://purl.obolibrary.org/obo/DOID_0040023,Ceclor allergy
http://purl.obolibrary.org/obo/DOID_0040023,cephaclor allergy
http://purl.obolibrary.org/obo/DOID_0040024,Fortaz allergy
http://purl.obolibrary.org/obo/DOID_0040024,Tazicef allergy
http://purl.obolibrary.org/obo/DOID_0040025,Zinacef allergy
http://purl.obolibrary.org/obo/DOID_0040025,cephuroxime allergy
http://purl.obolibrary.org/obo/DOID_0040027,cytophosphane allergy
http://purl.obolibrary.org/obo/DOID_0040028,dicholine succinate allergy
http://purl.obolibrary.org/obo/DOID_0040028,succinocholine allergy
http://purl.obolibrary.org/obo/DOID_0040028,sux allergy
http://purl.obolibrary.org/obo/DOID_0040028,suxamethonium allergy
http://purl.obolibrary.org/obo/DOID_0040029,Primsol allergy
http://purl.obolibrary.org/obo/DOID_0040029,TMP allergy
http://purl.obolibrary.org/obo/DOID_0040029,proloprim allergy
http://purl.obolibrary.org/obo/DOID_0040031,Voltaren allergy
http://purl.obolibrary.org/obo/DOID_0040034,Esmeron allergy
http://purl.obolibrary.org/obo/DOID_0040034,Zemuron allergy
http://purl.obolibrary.org/obo/DOID_0040036,DTC allergy
http://purl.obolibrary.org/obo/DOID_0040037,Azactam allergy
http://purl.obolibrary.org/obo/DOID_0040037,Primbactam allergy
http://purl.obolibrary.org/obo/DOID_0040038,Merrem allergy
http://purl.obolibrary.org/obo/DOID_9415,extrinsic asthma with acute exacerbation
http://purl.obolibrary.org/obo/DOID_9415,extrinsic asthma with status asthmaticus
http://purl.obolibrary.org/obo/DOID_9415,atopic asthma
http://purl.obolibrary.org/obo/DOID_0040040,allergic asthma to HDI
http://purl.obolibrary.org/obo/DOID_0040040,allergic asthma to HMDI
http://purl.obolibrary.org/obo/DOID_0040042,allergic asthma to MDI
http://purl.obolibrary.org/obo/DOID_0040043,allergic asthma to TDI
http://purl.obolibrary.org/obo/DOID_0040044,allergic asthma to MIC
http://purl.obolibrary.org/obo/DOID_0040045,allergic asthma to Ni
http://purl.obolibrary.org/obo/DOID_0040046,allergic contact dermatitis to Ni
http://purl.obolibrary.org/obo/DOID_0040047,allergic asthma to TMA
http://purl.obolibrary.org/obo/DOID_0040049,allergic asthma to MA
http://purl.obolibrary.org/obo/DOID_0040051,allergic asthma to HHPA
http://purl.obolibrary.org/obo/DOID_0040052,allergic contact dermatitis to MDI
http://purl.obolibrary.org/obo/DOID_0040053,allergic contact dermatitis to Co
http://purl.obolibrary.org/obo/DOID_0040054,Co allergic asthma
http://purl.obolibrary.org/obo/DOID_0040055,allergic contact dermatitis to Pd
http://purl.obolibrary.org/obo/DOID_0040057,allergic contact dermatitis to benzoate
http://purl.obolibrary.org/obo/DOID_0040058,allergic contact dermatitis to PPD
http://purl.obolibrary.org/obo/DOID_0040058,allergic contact dermatitis to p-phenylenediamine
http://purl.obolibrary.org/obo/DOID_0040060,photoallergic dermatitis to Orudis
http://purl.obolibrary.org/obo/DOID_3818,Photoallergic contact dermatitis
http://purl.obolibrary.org/obo/DOID_3818,Photoallergic eczema
http://purl.obolibrary.org/obo/DOID_0040061,respiratory allergy to Reactive Black 5
http://purl.obolibrary.org/obo/DOID_0060496,airway allergy
http://purl.obolibrary.org/obo/DOID_0040062,respiratory allergy to Chloraseptin
http://purl.obolibrary.org/obo/DOID_0040062,respiratory allergy to Chlorazol
http://purl.obolibrary.org/obo/DOID_0040062,respiratory allergy to Trichlorol
http://purl.obolibrary.org/obo/DOID_0040063,respiratory allergy to vinyl cyclohexene diepoxide
http://purl.obolibrary.org/obo/DOID_0040064,allergic contact dermatitis to levo-carvone
http://purl.obolibrary.org/obo/DOID_0040065,Kinidin allergy
http://purl.obolibrary.org/obo/DOID_0040066,Alkeran allergy
http://purl.obolibrary.org/obo/DOID_0040067,allergic contact dermatitis to neomycin sulphate
http://purl.obolibrary.org/obo/DOID_0040068,allergic contact dermatitis to PTBP
http://purl.obolibrary.org/obo/DOID_0040068,allergic contact dermatitis to butylphen
http://purl.obolibrary.org/obo/DOID_0040069,allergic contact dermatitis to DNCB
http://purl.obolibrary.org/obo/DOID_0040069,allergic contact dermatitis to dinitrochlorobenzene
http://purl.obolibrary.org/obo/DOID_0040070,Bactrim allergy
http://purl.obolibrary.org/obo/DOID_0040070,TMP/SMX allergy
http://purl.obolibrary.org/obo/DOID_0040070,cotrimoxazol allergy
http://purl.obolibrary.org/obo/DOID_0040070,trimethoprim/sulfamethoxazole allergy
http://purl.obolibrary.org/obo/DOID_0040071,gold sodium thiomalate allergy
http://purl.obolibrary.org/obo/DOID_0040072,allergic contact dermatitis to feverfew
http://purl.obolibrary.org/obo/DOID_0040073,DSCG allergy
http://purl.obolibrary.org/obo/DOID_0040074,allergic contact dermatitis to formalin
http://purl.obolibrary.org/obo/DOID_0040075,allergic contact dermatitis to BIT
http://purl.obolibrary.org/obo/DOID_0040075,allergic contact dermatitis to benzisothiazolone
http://purl.obolibrary.org/obo/DOID_0040076,phthalyl allergy
http://purl.obolibrary.org/obo/DOID_0040079,allergic contact dermatitis to DNP
http://purl.obolibrary.org/obo/DOID_0040082,ETO allergy
http://purl.obolibrary.org/obo/DOID_0040082,ethylene oxide allergy
