tsg_set,class,label,clase,etiqueta
1,DOID:0001816,angiosarcoma,DOID:0001816,angiosarcoma
1,DOID:0002116,pterygium,DOID:0002116,pterigión
1,DOID:0014667,disease of metabolism,DOID:0014667,trastorno metabólico
1,DOID:0040001,shrimp allergy,DOID:0040001,alergia a los camarones
1,DOID:0040002,aspirin allergy,DOID:0040002,alergia a la aspirina
1,DOID:0040003,benzylpenicillin allergy,DOID:0040003,alergia a la bencilpenicilina
1,DOID:0040004,amoxicillin allergy,DOID:0040004,alergia a la amoxicilina
1,DOID:0040005,ceftriaxone allergy,DOID:0040005,alergia a la ceftriaxona
1,DOID:0040006,carbamazepine allergy,DOID:0040006,alergia a la carbamazepina
1,DOID:0040007,abacavir allergy,DOID:0040007,alergia al abacavir
1,DOID:0040008,isoniazide allergy,DOID:0040008,alergia a la isoniazida
1,DOID:0040009,lidocaine allergy,DOID:0040009,alergia a la lidocaína
1,DOID:0040010,mepivacaine allergy,DOID:0040010,alergia a la mepivacaína
1,DOID:0040011,phenobarbital allergy,DOID:0040011,alergia al fenobarbital
1,DOID:0040012,phenytoin allergy,DOID:0040012,alergia a la fenitoína
1,DOID:0040013,ranitidine allergy,DOID:0040013,alergia a la ranitidina
1,DOID:0040014,corticosteroid allergy,DOID:0040014,alergia a los corticosteroides
1,DOID:0040015,sulfonamide allergy,DOID:0040015,alergia a las sulfonamidas
1,DOID:0040016,sulfamethoxazole allergy,DOID:0040016,alergia al sulfametoxazol
1,DOID:0040017,suprofen allergy,DOID:0040017,alergia al suprofeno
1,DOID:0040018,thiopental allergy,DOID:0040018,alergia al tiopental
1,DOID:0040019,D-mannitol allergy,DOID:0040019,Alergia al D-manitol
1,DOID:0040020,cefotaxime allergy,DOID:0040020,alergia a la cefotaxima
1,DOID:0040021,cephalosporin allergy,DOID:0040021,alergia a la cefalosporina
1,DOID:0040022,amodiaquine allergy,DOID:0040022,alergia a la amodiaquina
1,DOID:0040023,cefaclor allergy,DOID:0040023,alergia al cefaclor
1,DOID:0040024,ceftazidime allergy,DOID:0040024,alergia a la ceftazidima
1,DOID:0040025,cefuroxime allergy,DOID:0040025,alergia a la cefuroxima
1,DOID:0040026,chlorhexidine allergy,DOID:0040026,alergia a la clorhexidina
1,DOID:0040027,cyclophosphamide allergy,DOID:0040027,alergia a la ciclofosfamida
1,DOID:0040028,succinylcholine allergy,DOID:0040028,alergia a la succinilcolina
1,DOID:0040029,trimethoprim allergy,DOID:0040029,alergia a la trimetoprima
1,DOID:0040030,cefixime allergy,DOID:0040030,alergia a la cefixima
1,DOID:0040031,diclofenac allergy,DOID:0040031,alergia al diclofenaco
1,DOID:0040032,carbapenem allergy,DOID:0040032,alergia a los carbapenémicos
1,DOID:0040033,piperacillin allergy,DOID:0040033,alergia a la piperacilina
1,DOID:0040034,rocuronium allergy,DOID:0040034,alergia al rocuronio
1,DOID:0040035,sulfasalazine allergy,DOID:0040035,alergia a la sulfasalazina
1,DOID:0040036,tubocurarine allergy,DOID:0040036,alergia a la tubocurarina
1,DOID:0040037,aztreonam allergy,DOID:0040037,alergia al aztreonam
1,DOID:0040038,meropenem allergy,DOID:0040038,alergia al meropenem
1,DOID:0040040,hexamethylene diisocyanate allergic asthma,DOID:0040040,asma alérgico al diisocianato de hexametileno
1,DOID:0040041,isocyanates allergic asthma,DOID:0040041,asma alérgico a los isocianatos
1,DOID:0040042,"diphenylmethane-4,4'-diisocyanate allergic asthma",DOID:0040042,"asma alérgico al difenilmetano-4,4'-diisocianato"
1,DOID:0040043,toluene meta-diisocyanate allergic asthma,DOID:0040043,asma alérgico al meta-diisocianato de tolueno
1,DOID:0040044,methyl isocyanate allergic asthma,DOID:0040044,asma alérgico al isocianato de metilo
1,DOID:0040045,nickel allergic asthma,DOID:0040045,asma alérgico al níquel
1,DOID:0040046,nickel allergic contact dermatitis,DOID:0040046,dermatitis de contacto alérgica al níquel
1,DOID:0040047,trimellitic anhydride allergic asthma,DOID:0040047,asma alérgico al anhídrido trimelítico
1,DOID:0040048,phthalic anhydride allergic asthma,DOID:0040048,asma alérgico al anhídrido ftálico
1,DOID:0040049,maleic anhydride allergic asthma,DOID:0040049,asma alérgico al anhídrido maleico
1,DOID:0040050,tetrachlorophthalic anhydride allergic asthma,DOID:0040050,asma alérgico al anhídrido tetraclorftálico
1,DOID:0040051,hexahydrophthalic anhydride allergic asthma,DOID:0040051,asma alérgico al anhídrido hexahidroftálico
1,DOID:0040052,"diphenylmethane-4,4'-diisocyanate allergic contact dermatitis",DOID:0040052,"dermatitis de contacto alérgica por difenilmetano-4,4'-diisocianato"
1,DOID:0040053,cobalt allergic contact dermatitis,DOID:0040053,dermatitis de contacto alérgica al cobalto
1,DOID:0040054,cobalt allergic asthma,DOID:0040054,asma alérgico al cobalto
1,DOID:0040055,palladium allergic contact dermatitis,DOID:0040055,dermatitis de contacto alérgica por paladio
1,DOID:0040056,chromium allergic contact dermatitis,DOID:0040056,dermatitis de contacto alérgica al cromo
1,DOID:0040057,benzoic acid allergic contact dermatitis,DOID:0040057,dermatitis de contacto alérgica por ácido benzoico
1,DOID:0040058,"1,4-phenylenediamine allergic contact dermatitis",DOID:0040058,"dermatitis de contacto alérgica por 1,4-fenilendiamina"
1,DOID:0040059,potassium dichromate allergic contact dermatitis,DOID:0040059,dermatitis de contacto alérgica por dicromato potásico
1,DOID:0040060,ketoprofen photoallergic dermatitis,DOID:0040060,dermatitis fotoalérgica al ketoprofeno
1,DOID:0040061,remazole black respiratory allergy,DOID:0040061,alergia respiratoria al negro remazol
1,DOID:0040062,chloramine T respiratory allergy,DOID:0040062,alergia respiratoria a la cloramina T
1,DOID:0040063,4-vinylcyclohexene dioxide respiratory allergy,DOID:0040063,alergia respiratoria al dióxido de 4-vinilciclohexeno
1,DOID:0040064,carvone allergic contact dermatitis,DOID:0040064,dermatitis de contacto alérgica por carvona
1,DOID:0040065,quinidine allergy,DOID:0040065,alergia a la quinidina
1,DOID:0040066,melphalan allergy,DOID:0040066,alergia al melfalán
1,DOID:0040067,neomycin sulfate allergic contact dermatitis,DOID:0040067,dermatitis de contacto alérgica por sulfato de neomicina
1,DOID:0040068,4-tert-butylphenol allergic contact dermatitis,DOID:0040068,dermatitis de contacto alérgica por 4-tert-butilfenol
1,DOID:0040069,"1-chloro-2,4-dinitrobenzene allergic contact dermatitis",DOID:0040069,"dermatitis de contacto alérgica por 1-cloro-2,4-dinitrobenceno"
1,DOID:0040070,co-trimoxazole allergy,DOID:0040070,alergia al cotrimoxazol
1,DOID:0040071,sodium aurothiomalate allergy,DOID:0040071,alergia al aurotiomalato sódico
1,DOID:0040072,parthenolide allergic contact dermatitis,DOID:0040072,dermatitis de contacto alérgica por partenolida
1,DOID:0040073,disodium cromoglycate allergy,DOID:0040073,alergia al cromoglicato disódico
1,DOID:0040074,formaldehyde allergic contact dermatitis,DOID:0040074,dermatitis de contacto alérgica al formaldehído
1,DOID:0040075,benzo[d]isothiazol-3-one allergic contact dermatitis,DOID:0040075,dermatitis de contacto alérgica por benzo[d]isotiazol-3-ona
1,DOID:0040076,phthalyl group allergy,DOID:0040076,alergia al grupo ftalilo
1,DOID:0040077,alcuronium bromide allergy,DOID:0040077,alergia al bromuro de alcuronio
1,DOID:0040078,gallamine allergy,DOID:0040078,alergia a la galamina
1,DOID:0040079,"2,4-dinitrophenyl allergic contact dermatitis",DOID:0040079,"dermatitis de contacto alérgica por 2,4-dinitrofenilo"
1,DOID:0040080,patent blue V allergy,DOID:0040080,alergia al azul patentado V
1,DOID:0040081,acid anhydride respiratory allergy,DOID:0040081,alergia respiratoria al anhídrido ácido
1,DOID:0040082,oxirane allergy,DOID:0040082,alergia al oxirano
1,DOID:0040083,Chlamydia pneumonia,DOID:0040083,neumonía por clamidia
