source_id,predicate_id,source_text,source_lang,target_lang,target_text,tsg_set
DOID:0001816,IAO:0000115,A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.,en,es,Un cáncer vascular que se_deriva_de las células que recubren las paredes de los vasos sanguíneos o linfáticos.,1
DOID:0002116,IAO:0000115,A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.,en,es,Enfermedad de la córnea que se caracteriza por un crecimiento triangular del tejido que se_ubica_en la córnea del ojo que es el resultado de la degeneración del colágeno y la proliferación fibrovascular.,1
DOID:0014667,IAO:0000115,A disease that involving errors in metabolic processes of building or degradation of molecules.,en,es,Trastorno que implica errores en los procesos metabólicos de construcción o degradación de moléculas.,1
DOID:0040001,IAO:0000115,A crustacean allergy that has_allergic_trigger shrimp.,en,es,Una alergia a los crustáceos que tiene_como_desencadenante_de_la_alergia al camarón.,1
DOID:0040002,IAO:0000115,A drug allergy that has_allergic_trigger acetylsalicylic acid.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al ácido acetilsalicílico.,1
DOID:0040003,IAO:0000115,A beta-lactam allergy that has_allergic_trigger benzylpenicillin.,en,es,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergia a la bencilpenicilina.,1
DOID:0040004,IAO:0000115,A beta-lactam allergy that has_allergic_trigger amoxicillin.,en,es,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergiaa la amoxicilina.,1
DOID:0040005,IAO:0000115,A cephalosporin allergy that has_allergic_trigger ceftriaxone.,en,es,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la ceftriaxona.,1
DOID:0040006,IAO:0000115,A drug allergy that has_allergic_trigger carbamazepine.,en,es,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia a la carbamazepina.,1
DOID:0040007,IAO:0000115,A drug allergy that has_allergic_trigger abacavir.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergiaal abacavir.,1
DOID:0040008,IAO:0000115,A drug allergy that has_allergic_trigger isoniazide.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergiaa la isoniazida.,1
DOID:0040009,IAO:0000115,A drug allergy that has_allergic_trigger lidocaine.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la lidocaína.,1
DOID:0040010,IAO:0000115,A drug allergy that has_allergic_trigger mepivacaine.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la mepivacaína.,1
DOID:0040011,IAO:0000115,A drug allergy that has_allergic_trigger phenobarbital.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al fenobarbital.,1
DOID:0040012,IAO:0000115,A drug allergy that has_allergic_trigger phenytoin.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la fenitoína.,1
DOID:0040013,IAO:0000115,A drug allergy that has_allergic_trigger ranitidine.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la ranitidina.,1
DOID:0040014,IAO:0000115,A drug allergy that has_allergic_trigger corticosteroid.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a los corticosteroides.,1
DOID:0040015,IAO:0000115,A drug allergy that has_allergic_trigger sulfonamide.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la sulfonamida.,1
DOID:0040016,IAO:0000115,A drug allergy that has_allergic_trigger sulfamethoxazole.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al sulfametoxazol.,1
DOID:0040017,IAO:0000115,A drug allergy that has_allergic_trigger suprofen.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al suprofeno.,1
DOID:0040018,IAO:0000115,A drug allergy that has_allergic_trigger thiopental.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al tiopental.,1
DOID:0040019,IAO:0000115,A drug allergy that has_allergic_trigger D-mannitol.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al D-manitol.,1
DOID:0040020,IAO:0000115,A cephalosporin allergy that has_allergic_trigger cefotaxime.,en,es,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la cefotaxima.,1
DOID:0040021,IAO:0000115,A drug allergy that has_allergic_trigger cephalosporin.,en,es,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia a la cefalosporina.,1
DOID:0040022,IAO:0000115,A drug allergy that has_allergic_trigger amodiaquine.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la amodiaquina.,1
DOID:0040023,IAO:0000115,A cephalosporin allergy that has_allergic_trigger cefaclor.,en,es,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia al cefaclor.,1
DOID:0040024,IAO:0000115,A cephalosporin allergy that has_allergic_trigger ceftazidime.,en,es,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la ceftazidima.,1
DOID:0040025,IAO:0000115,A cephalosporin allergy that has_allergic_trigger cefuroxime.,en,es,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la cefuroxima.,1
DOID:0040026,IAO:0000115,A drug allergy that has_allergic_trigger chlorhexidine.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la clorhexidina.,1
DOID:0040027,IAO:0000115,A drug allergy that has_allergic_trigger cyclophosphamide.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la ciclofosfamida.,1
DOID:0040028,IAO:0000115,A drug allergy that has_allergic_trigger succinylcholine.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la succinilcolina.,1
DOID:0040029,IAO:0000115,A drug allergy that has_allergic_trigger trimethoprim.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la trimetoprima.,1
DOID:0040030,IAO:0000115,A cephalosporin allergy that has_allergic_trigger cefixime.,en,es,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la cefixima.,1
DOID:0040031,IAO:0000115,A drug allergy that has_allergic_trigger diclofenac.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al diclofenaco.,1
DOID:0040032,IAO:0000115,A drug allergy that has_allergic_trigger carbapenems.,en,es,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia a los carbapenémicos.,1
DOID:0040033,IAO:0000115,A beta-lactam allergy that has_allergic_trigger piperacillin.,en,es,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergia a la piperacilina.,1
DOID:0040034,IAO:0000115,A drug allergy that has_allergic_trigger rocuronium.,en,es,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al rocuronio.,1
DOID:0040035,IAO:0000115,A drug allergy that has_allergic_trigger sulfasalazine.,en,es,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia a la sulfasalazina.,1
DOID:0040036,IAO:0000115,A drug allergy that has_allergic_trigger tubocurarine.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la tubocurarina.,1
DOID:0040037,IAO:0000115,A beta-lactam allergy that has_allergic_trigger aztreonam.,en,es,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergia al aztreonam.,1
DOID:0040038,IAO:0000115,"An allergic asthma that has_allergic_trigger meropenem, a beta-lactam antibiotic.",en,es,"Un asma alérgico que tiene_como_desencadenante_de_la_alergia al meropenem, un antibiótico beta-lactámico.",1
DOID:0040040,IAO:0000115,An isocyanates allergic asthma that has_allergic_trigger hexamethylene diisocyanate.,en,es,Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al diisocianato de hexametileno.,1
DOID:0040041,IAO:0000115,An allergic asthma that has_allergic_trigger isocyanates.,en,es,Un asma alérgico que tiene_como_desencadenante_de_la_alergia a los isocianatos.,1
DOID:0040042,IAO:0000115,"An isocyanates allergic asthma that has_allergic_trigger diphenylmethane-4,4-diisocyanate.",en,es,"Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al difenilmetano-4,4-diisocianato.",1
DOID:0040043,IAO:0000115,An isocyanates allergic asthma that has_allergic_trigger toluene meta-diisocyanate.,en,es,Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al meta-diisocianato de tolueno.,1
DOID:0040044,IAO:0000115,An isocyanates allergic asthma that has_allergic_trigger methyl isocyanate.,en,es,Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al isocianato de metilo.,1
DOID:0040045,IAO:0000115,An allergic asthma that has_allergic_trigger nickel atom.,en,es,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al átomo de níquel.,1
DOID:0040046,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger nickel atom.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al átomo de níquel.,1
DOID:0040047,IAO:0000115,An allergic asthma that has_allergic_trigger trimellitic anhydride.,en,es,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido trimelítico.,1
DOID:0040048,IAO:0000115,An allergic asthma that has_allergic_trigger phthalic anhydride.,en,es,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido ftálico.,1
DOID:0040049,IAO:0000115,An allergic asthma that has_allergic_trigger maleic anhydride.,en,es,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido maleico.,1
DOID:0040050,IAO:0000115,An allergic asthma that has_allergic_trigger tetrachlorophthalic anhydride.,en,es,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido tetracloroftálico.,1
DOID:0040051,IAO:0000115,An allergic asthma that has_allergic_trigger hexahydrophthalic anhydride.,en,es,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido hexahídrico.,1
DOID:0040052,IAO:0000115,"An allergic contact dermatitis that has_allergic_trigger diphenylmethane-4,4-diisocyanate.",en,es,"Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al difenilmetano-4,4-diisocianato.",1
DOID:0040053,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger cobalt atom.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al átomo de cobalto.,1
DOID:0040054,IAO:0000115,An allergic asthma that has_allergic_trigger cobalt atom.,en,es,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al átomo de cobalto.,1
DOID:0040055,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger palladium.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al paladio.,1
DOID:0040056,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger chromium atom.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al átomo de cromo.,1
DOID:0040057,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger benzoic acid.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al ácido benzoico.,1
DOID:0040058,IAO:0000115,"An allergic contact dermatitis that has_allergic_trigger 1,4-phenylenediamine.",en,es,"Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la 1,4-fenilendiamina.",1
DOID:0040059,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger potassium dichromate.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al dicromato potásico.,1
DOID:0040060,IAO:0000115,A photoallergic dermatitis that has_allergic_trigger ketoprofen.,en,es,Una dermatitis fotoalérgica que tiene_como_desencadenante_de_la_alergia al ketoprofeno.,1
DOID:0040061,IAO:0000115,A respiratory allergy that has_allergic_trigger remazole black-GR.,en,es,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia al negro remazol-GR.,1
DOID:0040062,IAO:0000115,A respiratory allergy that has_allergic_trigger chloramine T.,en,es,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia a la cloramina T.,1
DOID:0040063,IAO:0000115,A respiratory allergy that has_allergic_trigger 4-vinylcyclohexene dioxide.,en,es,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia al dióxido de 4-vinilciclohexeno.,1
DOID:0040064,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger (-)-carvone.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la (-)-carvona.,1
DOID:0040065,IAO:0000115,A drug allergy that has_allergic_trigger quinidine.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la quinidina.,1
DOID:0040066,IAO:0000115,A drug allergy that has_allergic_trigger melphalan.,en,es,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al melfalán.,1
DOID:0040067,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger neomycin sulfate.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al sulfato de neomicina.,1
DOID:0040068,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger 4-tert-butylphenol.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al 4-tert-butilfenol.,1
DOID:0040069,IAO:0000115,"An allergic contact dermatitis that has_allergic_trigger 1-chloro-2,4-dinitrobenzene.",en,es,"Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al 1-cloro-2,4-dinitrobenceno.",1
DOID:0040070,IAO:0000115,A drug allergy that has_allergic_trigger co-trimoxazole.,en,es,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia al cotrimoxazol.,1
DOID:0040071,IAO:0000115,A drug allergy that has_allergic_trigger sodium aurothiomalate.,en,es,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al aurotiomalato sódico.,1
DOID:0040072,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger parthenolide.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la partenolida.,1
DOID:0040073,IAO:0000115,A drug allergy that has_allergic_trigger disodium cromoglycate.,en,es,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al cromoglicato disódico.,1
DOID:0040074,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger formaldehyde.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al formaldehído.,1
DOID:0040075,IAO:0000115,An allergic contact dermatitis that has_allergic_trigger benzo[d]isothiazol-3-one.,en,es,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la benzo[d]isotiazol-3-ona.,1
DOID:0040076,IAO:0000115,A drug allergy that has_allergic_trigger phthalyl group.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al ftalilo.,1
DOID:0040077,IAO:0000115,A drug allergy that has_allergic_trigger alcuronium bromide.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al bromuro de alcuronio.,1
DOID:0040078,IAO:0000115,A drug allergy that has_allergic_trigger gallamine.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la galamina.,1
DOID:0040079,IAO:0000115,"An allergic contact dermatitis that has_allergic_trigger 2,4-dinitrophenyl group.",en,es,"Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al grupo 2,4-dinitrofenilo.",1
DOID:0040080,IAO:0000115,A drug allergy that has_allergic_trigger patent blue V.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al azul patentado V.,1
DOID:0040081,IAO:0000115,A respiratory allergy that has_allergic_trigger acid anhydride.,en,es,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia al anhídrido ácido.,1
DOID:0040082,IAO:0000115,A drug allergy that has_allergic_trigger oxirane.,en,es,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al oxirano.,1
