source_id,predicate_id,source_text,source_lang,target_lang,target_text
DOID:0001816,oboInOwl:hasExactSynonym,hemangiosarcoma,en,es,hemangiosarcoma
DOID:0002116,oboInOwl:hasExactSynonym,surfer's eye,en,es,ojo de surfista
DOID:0014667,oboInOwl:hasExactSynonym,metabolic disease,en,es,enfermedad metabólica
DOID:0040002,oboInOwl:hasExactSynonym,ASA allergy,en,es,alergia al ASA
DOID:0040002,oboInOwl:hasExactSynonym,acetylsalicylic acid allergy,en,es,alergia al ácido acetilsalicílico
DOID:0040003,oboInOwl:hasExactSynonym,benzyl penicillin allergy,en,es,alergia a la bencilpenicilina
DOID:0040003,oboInOwl:hasExactSynonym,penicillin G allergy,en,es,alergia a la penicilina G
DOID:0040005,oboInOwl:hasExactSynonym,rocephin allergy,en,es,alergia al Rocephin
DOID:0040006,oboInOwl:hasExactSynonym,Tegretol allergy,en,es,alergia al Tegretol
DOID:0040006,oboInOwl:hasExactSynonym,carbamazepen allergy,en,es,alergia a la carbamazepina
DOID:0040007,oboInOwl:hasExactSynonym,ABC allergy,en,es,alergia al ABC
DOID:0040008,oboInOwl:hasExactSynonym,INH allergy,en,es,alergia a la INH
DOID:0040008,oboInOwl:hasExactSynonym,isonicotinylhydrazide allergy,en,es,alergia a la isonicotinilhidrazida
DOID:0040009,oboInOwl:hasExactSynonym,Lidoderm allergy,en,es,alergia al Lidoderm
DOID:0040009,oboInOwl:hasExactSynonym,lignocaine allergy,en,es,alergia a la lignocaína
DOID:0040009,oboInOwl:hasExactSynonym,xylocaine allergy,en,es,alergia a la xilocaína
DOID:0040010,oboInOwl:hasExactSynonym,Carbocaine allergy,en,es,alergia a la Carbocaína
DOID:0040010,oboInOwl:hasExactSynonym,Polocaine allergy,en,es,alergia a la Polocaína
DOID:0040011,oboInOwl:hasExactSynonym,Luminal allergy,en,es,alergia al Luminal
DOID:0040011,oboInOwl:hasExactSynonym,phenobarbitol allergy,en,es,alergia al fenobarbital
DOID:0040011,oboInOwl:hasExactSynonym,phenobarbitone allergy,en,es,alergia a la fenobarbitona
DOID:0040012,oboInOwl:hasExactSynonym,Dilantin allergy,en,es,alergia al Dilantín
DOID:0040013,oboInOwl:hasExactSynonym,Zantac allergy,en,es,alergia al Zantac
DOID:0040016,oboInOwl:hasExactSynonym,SMX allergy,en,es,alergia al SMX
DOID:0040016,oboInOwl:hasExactSynonym,SMZ allergy,en,es,alergia al SMZ
DOID:0040016,oboInOwl:hasExactSynonym,sulphamethoxazole allergy,en,es,alergia al sulfametoxazol
DOID:0040017,oboInOwl:hasExactSynonym,Profenal allergy,en,es,alergia al Profenal
