class,synonym,clase,sinónimo
DOID:0001816,hemangiosarcoma,DOID:0001816,hemangiosarcoma
DOID:175,Blood vessel tumor,DOID:175,tumor de los vasos sanguíneos
DOID:175,Blood vessel tumors,DOID:175,tumores de los vasos sanguíneos
DOID:175,Blood vessel tumour disorder,DOID:175,trastorno tumoral de los vasos sanguíneos
DOID:175,Haemangiomatous tumour,DOID:175,tumor hemangiomatoso
DOID:175,blood vessel neoplasm,DOID:175,neoplasia de los vasos sanguíneos
DOID:175,leiomyosarcoma of the renal Vein,DOID:175,leiomiosarcoma de la vena renal
DOID:175,malignant great vessel tumor,DOID:175,tumor maligno de grandes vasos
DOID:175,malignant tumor of pulmonary Vein,DOID:175,tumor maligno de la vena pulmonar
DOID:175,malignant tumor of pulmonary artery,DOID:175,tumor maligno de la arteria pulmonar
DOID:175,malignant vascular neoplasm,DOID:175,neoplasia vascular maligna
DOID:175,malignant vascular tumor,DOID:175,tumor vascular maligno
DOID:175,neoplasm of great vessel,DOID:175,neoplasia de grandes vasos
DOID:175,pulmonary artery malignant neoplasm,DOID:175,neoplasia maligna de la arteria pulmonar
DOID:175,pulmonary vein malignant neoplasm,DOID:175,neoplasia maligna de la vena pulmonar
DOID:175,renal vein leiomyosarcoma,DOID:175,leiomiosarcoma de vena renal
DOID:175,vascular tissue neoplasm,DOID:175,neoplasia del tejido vascular
DOID:175,vascular tumors,DOID:175,tumores vasculares
DOID:0002116,surfer's eye,DOID:0002116,ojo de surfista
DOID:0014667,metabolic disease,DOID:0014667,enfermedad metabólica
DOID:0040002,ASA allergy,DOID:0040002,alergia al ASA
DOID:0040002,acetylsalicylic acid allergy,DOID:0040002,alergia al ácido acetilsalicílico
DOID:0040003,benzyl penicillin allergy,DOID:0040003,alergia a la bencilpenicilina
DOID:0040003,penicillin G allergy,DOID:0040003,alergia a la penicilina G
DOID:0040005,rocephin allergy,DOID:0040005,alergia al Rocephin
DOID:0040006,Tegretol allergy,DOID:0040006,alergia al Tegretol
DOID:0040006,carbamazepen allergy,DOID:0040006,alergia a la carbamazepina
DOID:0040007,ABC allergy,DOID:0040007,alergia al ABC
DOID:0040008,INH allergy,DOID:0040008,alergia a la INH
DOID:0040008,isonicotinylhydrazide allergy,DOID:0040008,alergia a la isonicotinilhidrazida
DOID:0040009,Lidoderm allergy,DOID:0040009,alergia al Lidoderm
