set,clase,etiqueta,def
1,http://purl.obolibrary.org/obo/DOID_4,enfermedad,Una enfermedad es una disposición (i) a sufrir procesos patológicos que (ii) existe en un organismo debido a uno o más trastornos en dicho organismo.
1,http://purl.obolibrary.org/obo/DOID_0001816,angiosarcoma,Un cáncer vascular que se_deriva_de las células que recubren las paredes de los vasos sanguíneos o linfáticos.
1,http://purl.obolibrary.org/obo/DOID_175,cáncer vascular,Un cáncer cardiovascular que se_ubica_en los vasos sanguíneos.
1,http://purl.obolibrary.org/obo/DOID_0002116,pterigión,Enfermedad de la córnea que se caracteriza por un crecimiento triangular del tejido que se_ubica_en la córnea del ojo que es el resultado de la degeneración del colágeno y la proliferación fibrovascular.
1,http://purl.obolibrary.org/obo/DOID_10124,enfermedad corneal,"Enfermedad ocular que afecta a la córnea, que es la superficie transparente del ojo que ayuda en la refracción de la luz."
1,http://purl.obolibrary.org/obo/DOID_0014667,trastorno metabólico,Trastorno que implica errores en los procesos metabólicos de construcción o degradación de moléculas.
1,http://purl.obolibrary.org/obo/DOID_0040001,alergia a los camarones,Una alergia a los crustáceos que tiene_como_desencadenante_de_la_alergia al camarón.
1,http://purl.obolibrary.org/obo/DOID_0060524,alergia a los crustáceos,Una alergia al marisco provocada por los crustáceos.
1,http://purl.obolibrary.org/obo/DOID_0040002,alergia a la aspirina,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al ácido acetilsalicílico.
1,http://purl.obolibrary.org/obo/DOID_0060500,alergia a medicamentos,Enfermedad alérgica desencadenada por un medicamento.
1,http://purl.obolibrary.org/obo/DOID_0040003,alergia a la bencilpenicilina,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergia a la bencilpenicilina.
1,http://purl.obolibrary.org/obo/DOID_0060519,alergia a los betalactámicos,Una alergia a los medicamentos provocada por un betalactámico.
1,http://purl.obolibrary.org/obo/DOID_0040004,alergia a la amoxicilina,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergiaa la amoxicilina.
1,http://purl.obolibrary.org/obo/DOID_0040005,alergia a la ceftriaxona,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la ceftriaxona.
1,http://purl.obolibrary.org/obo/DOID_0040021,alergia a la cefalosporina,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia a la cefalosporina.
1,http://purl.obolibrary.org/obo/DOID_0040006,alergia a la carbamazepina,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia a la carbamazepina.
1,http://purl.obolibrary.org/obo/DOID_0040007,alergia al abacavir,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergiaal abacavir.
1,http://purl.obolibrary.org/obo/DOID_0040008,alergia a la isoniazida,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergiaa la isoniazida.
1,http://purl.obolibrary.org/obo/DOID_0040009,alergia a la lidocaína,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la lidocaína.
1,http://purl.obolibrary.org/obo/DOID_0040010,alergia a la mepivacaína,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la mepivacaína.
1,http://purl.obolibrary.org/obo/DOID_0040011,alergia al fenobarbital,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al fenobarbital.
1,http://purl.obolibrary.org/obo/DOID_0040012,alergia a la fenitoína,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la fenitoína.
1,http://purl.obolibrary.org/obo/DOID_0040013,alergia a la ranitidina,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la ranitidina.
1,http://purl.obolibrary.org/obo/DOID_0040014,alergia a los corticosteroides,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a los corticosteroides.
1,http://purl.obolibrary.org/obo/DOID_0040015,alergia a las sulfonamidas,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la sulfonamida.
1,http://purl.obolibrary.org/obo/DOID_0040016,alergia al sulfametoxazol,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al sulfametoxazol.
1,http://purl.obolibrary.org/obo/DOID_0040017,alergia al suprofeno,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al suprofeno.
1,http://purl.obolibrary.org/obo/DOID_0040018,alergia al tiopental,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al tiopental.
1,http://purl.obolibrary.org/obo/DOID_0040019,Alergia al D-manitol,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al D-manitol.
1,http://purl.obolibrary.org/obo/DOID_0040020,alergia a la cefotaxima,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la cefotaxima.
1,http://purl.obolibrary.org/obo/DOID_0040022,alergia a la amodiaquina,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la amodiaquina.
1,http://purl.obolibrary.org/obo/DOID_0040023,alergia al cefaclor,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia al cefaclor.
1,http://purl.obolibrary.org/obo/DOID_0040024,alergia a la ceftazidima,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la ceftazidima.
