review_notes,cause,cur_match_en,match_en,quality,class,label,google_translate_to_en,en_osa,en_dl,en_qgram,en_cos,en_jaccard,compare_en,clase,etiqueta,google_translate_to_es,compare_es
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050328,congenital hypothyroidism,congenital hypothyroidism,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050328,hipotiroidismo congénito,hipotiroidismo congénito,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0080015,physical disorder,physical disorder,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0080015,trastorno físico,desorden fisico,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050453,lissencephaly,lissencephaly,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050453,lisencefalia,lisencefalia,exact
,,meaning,,3,http://purl.obolibrary.org/obo/DOID_2490,congenital nervous system abnormality,congenital anomaly of the nervous system,0.4,0.4,0.8831168831168831,0.955317528,0.8421052631578947,,http://purl.obolibrary.org/obo/DOID_2490,anomalía congénita del sistema nervioso,anomalía congénita del sistema nervioso,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050454,periventricular nodular heterotopia,periventricular nodular heterotopia,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050454,heterotopía nodular periventricular,heterotopía nodular periventricular,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050488,early congenital syphilis,early congenital syphilis,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050488,sífilis congénita precoz,sífilis congénita temprana,
,,,exact,5,http://purl.obolibrary.org/obo/DOID_9856,congenital syphilis,congenital syphilis,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_9856,sífilis congénita,sífilis congénita,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050534,congenital stationary night blindness,congenital stationary night blindness,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050534,ceguera nocturna estacionaria congénita,ceguera nocturna estacionaria congénita,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050545,visceral heterotaxy,visceral heterotaxy,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050545,heterotaxia visceral,heterotaxia visceral,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050546,congenital adrenal insufficiency,congenital adrenal insufficiency,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050546,insuficiencia suprarrenal congénita,insuficiencia suprarrenal congénita,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050557,congenital muscular dystrophy,congenital muscular dystrophy,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050557,distrofia muscular congénita,distrofia muscular congénita,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050558,Ullrich congenital muscular dystrophy,Ullrich congenital muscular dystrophy,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050558,Distrofia muscular congénita de Ullrich,Distrofia muscular congénita de Ullrich,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050559,Fukuyama congenital muscular dystrophy,Fukuyama congenital muscular dystrophy,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050559,Distrofia muscular congénita de Fukuyama,Distrofia muscular congénita de Fukuyama,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0111229,congenital muscular dystrophy-dystroglycanopathy type A,congenital muscular dystrophy-dystroglycanopathy type A,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0111229,distrofia muscular congénita-distroglicanopatía tipo A,Distrofia muscular congénita-distroglicanopatía tipo A,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050560,Walker-Warburg syndrome,Walker-Warburg syndrome,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050560,síndrome de Walker-Warburg,Síndrome de Walker-Warburg,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050567,orofacial cleft,orofacial cleft,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050567,hendidura orofacial,hendidura orofacial,exact
,,order,,5,http://purl.obolibrary.org/obo/DOID_0050570,congenital disorder of glycosylation type I,congenital glycosylation disorder type I,0.5116279069767442,0.5116279069767442,0.963855422,0.9906872800257396,0.9411764705882352,,http://purl.obolibrary.org/obo/DOID_0050570,trastorno congénito de la glicosilación tipo I,trastorno congénito de la glicosilación tipo I,exact
,,order,,5,http://purl.obolibrary.org/obo/DOID_5212,congenital disorder of glycosylation,congenital glycosylation disorder,0.41666666666666663,0.41666666666666663,0.9565217391304348,0.9868199541123376,0.9333333333333332,,http://purl.obolibrary.org/obo/DOID_5212,trastorno congénito de la glicosilación,trastorno congénito de la glicosilación,exact
,,order,,5,http://purl.obolibrary.org/obo/DOID_0050571,congenital disorder of glycosylation type II,congenital glycosylation disorder type II,0.5227272727272727,0.5227272727272727,0.9647058823529412,0.9908405964661778,0.9411764705882352,,http://purl.obolibrary.org/obo/DOID_0050571,trastorno congénito de la glicosilación tipo II,trastorno congénito de la glicosilación tipo II,exact
,,,exact,5,http://purl.obolibrary.org/obo/DOID_0050585,congenital generalized lipodystrophy,congenital generalized lipodystrophy,1,1,1,1,1,exact,http://purl.obolibrary.org/obo/DOID_0050585,lipodistrofia generalizada congénita,lipodistrofia generalizada congénita,exact
