class,label,definition
http://purl.obolibrary.org/obo/SYMP_0000134,sinusitis,
http://purl.obolibrary.org/obo/SYMP_0000675,acute diarrhea,Acute diarrhea is a diarrhea with either or both a rapid onset or a short course.
http://purl.obolibrary.org/obo/SYMP_0000069,laryngotracheitis,
http://purl.obolibrary.org/obo/SYMP_0000581,sleep apnea,An apnea that is characterized by brief periods of recurrent cessation of breathing during sleep that is caused especially by obstruction of the airway or a disturbance in the brain's respiratory center and is associated especially with excessive daytime sleepiness.
http://purl.obolibrary.org/obo/SYMP_0000508,aphasia,A nervous system symptom that is characterized by a loss or impairment of the power to use or comprehend words usually resulting from brain damage.
http://purl.obolibrary.org/obo/SYMP_0000213,agraphia,An aphasia that is characterized by a pathological loss of the ability to write.
http://purl.obolibrary.org/obo/SYMP_0000226,atrial fibrillation,A cardiac fibrillation consisting of a very rapid uncoordinated contractions of the atria of the heart resulting in a lack of synchronism between heartbeat and pulse beat.
http://purl.obolibrary.org/obo/SYMP_0000369,ptosis,Ptosis is a general symptom characterized by a sagging or prolapse of an organ or part.
http://purl.obolibrary.org/obo/SYMP_0020036,conjunctival degeneration,
http://purl.obolibrary.org/obo/SYMP_0000262,endocarditis,
http://purl.obolibrary.org/obo/SYMP_0000301,hypopyon,
http://purl.obolibrary.org/obo/SYMP_0000089,meningoencephalitis,A nervous system symptom that is characterized by an inflammation of the brain and meninges.
http://purl.obolibrary.org/obo/SYMP_0000051,hydrocephalus,
http://purl.obolibrary.org/obo/SYMP_0000098,nephritis,"A urinary system symptom that is characterized by the acute or chronic inflammation of the kidney affecting the structure (as of the glomerulus or parenchyma) and caused by infection, a degenerative process, or vascular disease."
http://purl.obolibrary.org/obo/SYMP_0000643,respiratory failure,A respiratory system and chest symptom that is characterized by a difficulty to breathe on one's own and develops when the lungs cannot get enough oxygen into the blood.
http://purl.obolibrary.org/obo/SYMP_0019151,pulmonary edema,A respiratory system and chest symptom that is characterized by an abnormal accumulation of fluid in the lungs.
http://purl.obolibrary.org/obo/SYMP_0000876,pericardial effusion,Pericardial effusion is a cardiovascular system symptom where there is an abnormal accumulation of fluid in the pericardial cavity.
http://purl.obolibrary.org/obo/SYMP_0000890,relapsing fever,A fever that is characterized by  body temperature periodically rising and falling.
http://purl.obolibrary.org/obo/SYMP_0000570,diarrhea,Diarrhea is a feces and droppng symptom involving the abnormally frequent intestinal evacuations with more or less fluid stools.
http://purl.obolibrary.org/obo/SYMP_0000621,alexia,An aphasia that is characterized by a loss of ability to read.
http://purl.obolibrary.org/obo/SYMP_0019164,excessive tearing,
http://purl.obolibrary.org/obo/SYMP_0000283,facial paralysis,
http://purl.obolibrary.org/obo/SYMP_0000008,blindness,
http://purl.obolibrary.org/obo/SYMP_0000434,urticaria,"A skin and integumentary tissue symptom that is characterized by raised red skin wheals (welts) commonly caused by an allergic reaction with wheals that may vary in size from about 5 mm (0.2 inches) in diameter to the size of a dinner plate that are described as severely itchy a stingnig or burning sensation, and having a pale border."
http://purl.obolibrary.org/obo/SYMP_0000114,thrombocytopenia,
http://purl.obolibrary.org/obo/SYMP_0000022,depression,"A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide."
http://purl.obolibrary.org/obo/SYMP_0019155,lymphadenitis,
http://purl.obolibrary.org/obo/SYMP_0000046,hepatitis,
http://purl.obolibrary.org/obo/SYMP_0019159,gastroenteritis,
http://purl.obolibrary.org/obo/SYMP_0000208,anemia,
http://purl.obolibrary.org/obo/SYMP_0000646,synovitis,Synovitis is a joint inflammation characterized by an inflammation of a synovial membrane usually with pain and swelling of the joint.
http://purl.obolibrary.org/obo/SYMP_0000232,bronchiolitis,A respiratory system and chest symptom that is characterized by an inflammation of the bronchioles.
http://purl.obolibrary.org/obo/SYMP_0000852,anuria,"A urinary system symptom that is characterized by the absence of, or by defective, urine excretion."
http://purl.obolibrary.org/obo/SYMP_0000209,ischemia,
http://purl.obolibrary.org/obo/SYMP_0000068,laryngitis,
http://purl.obolibrary.org/obo/SYMP_0000000,cellulitis,Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.
