class,syn
http://purl.obolibrary.org/obo/SYMP_0000006,back pain
http://purl.obolibrary.org/obo/SYMP_0000064,arthralgia
http://purl.obolibrary.org/obo/SYMP_0000064,arthromyalgia
http://purl.obolibrary.org/obo/SYMP_0000613,pyrexia
http://purl.obolibrary.org/obo/SYMP_0000487,erythema
http://purl.obolibrary.org/obo/SYMP_0000487,rubor
http://purl.obolibrary.org/obo/SYMP_0000487,skin eruption
http://purl.obolibrary.org/obo/SYMP_0000487,skin rash
http://purl.obolibrary.org/obo/SYMP_0000487,skin redness
http://purl.obolibrary.org/obo/SYMP_0000504,cephalalgia
http://purl.obolibrary.org/obo/SYMP_0019142,adenopathy
http://purl.obolibrary.org/obo/SYMP_0000309,inappetence
http://purl.obolibrary.org/obo/SYMP_0000309,lack of appetite
http://purl.obolibrary.org/obo/SYMP_0000570,bacterial gastroenteritis
http://purl.obolibrary.org/obo/SYMP_0000570,diarrhoea
http://purl.obolibrary.org/obo/SYMP_0000570,fecal incontinence
http://purl.obolibrary.org/obo/SYMP_0000570,incontinence of feces
http://purl.obolibrary.org/obo/SYMP_0000570,loose bowel
http://purl.obolibrary.org/obo/SYMP_0000570,loose bowels
http://purl.obolibrary.org/obo/SYMP_0000570,the runs
http://purl.obolibrary.org/obo/SYMP_0019145,emesis
http://purl.obolibrary.org/obo/SYMP_0019147,bloody vomit
http://purl.obolibrary.org/obo/SYMP_0019147,haematemesis
http://purl.obolibrary.org/obo/SYMP_0019147,vomiting blood
http://purl.obolibrary.org/obo/SYMP_0000521,swelling of lymph nodes
http://purl.obolibrary.org/obo/SYMP_0000521,swollen lymph glands
http://purl.obolibrary.org/obo/SYMP_0000448,nosebleed
http://purl.obolibrary.org/obo/SYMP_0000742,gingival hemorrhage
http://purl.obolibrary.org/obo/SYMP_0000237,blocked nose
http://purl.obolibrary.org/obo/SYMP_0000237,nasal blockage
http://purl.obolibrary.org/obo/SYMP_0000237,nasal obstruction
http://purl.obolibrary.org/obo/SYMP_0000237,stuffed up nose
http://purl.obolibrary.org/obo/SYMP_0000237,stuffy nose
http://purl.obolibrary.org/obo/SYMP_0000493,difficulty in swallowing
http://purl.obolibrary.org/obo/SYMP_0000493,difficulty swallowing
http://purl.obolibrary.org/obo/SYMP_0000493,impaired swallowing
http://purl.obolibrary.org/obo/SYMP_0000603,rapid breathing
