source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type
obo:doid.owl	dc11:description	"The Disease Ontology has been developed as a standardized ontology for human disease with the purpose of providing the biomedical community with consistent, reusable and sustainable descriptions of human disease terms, phenotype characteristics and related medical vocabulary disease concepts."	"La Disease Ontology se ha desarrollado como una ontología estandarizada para las enfermedades humanas con el propósito de proporcionar a la comunidad biomédica descripciones coherentes, reutilizables y sostenibles de términos de enfermedades humanas, características de fenotipos y conceptos de enfermedades del vocabulario médico relacionados."	The Spanish Group (https://thespanishgroup.org/)	en	es	final		JAB	slight modification: untranslated name of ontology	
DOID:0080015	rdfs:label	physical disorder	trastorno físico	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.7125	CSBJ|JAB	en:|[Allen] adding 'disease' to english makes Google Translate provide correct translation||es:|[Allen] google might get it right with more context	
DOID:0050651	rdfs:label	atrioventricular septal defect	defecto del tabique auriculoventricular	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.2805	CSBJ|JAB	en:|[Allen] atriaventricular != atrial|Claudia- further review needed	
DOID:1681	rdfs:label	heart septal defect	defecto septal cardíaco	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.493	CSBJ	es:|[Allen] ?different meaning - further review needed	
DOID:0050663	rdfs:label	Bethlem myopathy	miopatía de Bethlem	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.7025	CSBJ	en:|[Allen] Bethlehem myopathy rare in Google search, appears to be used in error (example: https://www.ncbi.nlm.nih.gov/books/NBK558956/)	
DOID:0060285	rdfs:label	parietal foramina	forámenes parietales	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.7125	CSBJ	es:|?revise	
DOID:0060327	rdfs:label	omphalocele	onfalocele	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.5	CSBJ	es:|[Claudia] based on my research both are appropiate but seems like column J is more concise resembling the nomenclature in the DO as company described anumbilical hernia- based on the DO definition it refers to a dwfect in umbilical hernia which would be fiting but I'm not sure if the disruption in the umbilical ehrnia conveyed in teh definition necessarily equals it to be an hernia.||[Allen] these are not the same thing:|- https://www.mountsinai.org/care/surgery/services/pediatric-surgery/conditions-we-treat/abdominal-wall-hernias|- https://pmc.ncbi.nlm.nih.gov/articles/PMC4420826/|- https://www.sciencedirect.com/science/article/pii/S2213576621003614	
DOID:0060770	rdfs:label	dextro-looped transposition of the great arteries	transposición dextrógira de las grandes arterias	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.61625	CSBJ		
DOID:0070123	rdfs:label	congenital nongoitrous hypothyroidism 4	hipotiroidismo congénito sin bocio 4	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.65875	CSBJ|JAB		
DOID:0070124	rdfs:label	congenital nongoitrous hypothyroidism 2	hipotiroidismo congénito sin bocio 2	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.65875	CSBJ|JAB		
DOID:0070125	rdfs:label	congenital nongoitrous hypothyroidism 5	hipotiroidismo congénito sin bocio 5	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.65875	CSBJ|JAB		
DOID:0070126	rdfs:label	congenital nongoitrous hypothyroidism 1	hipotiroidismo congénito sin bocio 1	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.65875	CSBJ|JAB		
DOID:0070127	rdfs:label	congenital nongoitrous hypothyroidism 3	hipotiroidismo congénito sin bocio 3	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.65875	CSBJ|JAB		
DOID:0070128	rdfs:label	congenital nongoitrous hypothyroidism 6	hipotiroidismo congénito sin bocio 6	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.65875	CSBJ|JAB		
DOID:0070266	rdfs:label	congenital disorder of glycosylation type IIn	trastorno congénito de la glucosilación tipo IIn	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.714	CSBJ	en:|[Allen] added ""I"" for some reason; some points because search will likely show this as a typo||es:|[Allen] ? is this okay?	
DOID:0080683	rdfs:label	nonsyndromic congenital nail disorder	trastorno ungueal congénito no sindrómico	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.73225	CSBJ		
DOID:0080174	rdfs:label	bladder exstrophy	extrofia vesical	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.60625		es:|[Claudia] both seem correct, vesial may resemble the originallabel more closely||we consider ""of the"" to be exact to an adjective that conveys the same meaning|they are exact	
DOID:0080180	rdfs:label	Zika virus congenital syndrome	síndrome congénito por el virus del Zika	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.72675	JAB		
DOID:0080556	rdfs:label	congenital disorder of glycosylation Id	trastorno congénito de la glicosilación I	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.65275	CSBJ	en:|[Allen] dropped essential subtype ""d""	
DOID:0080557	rdfs:label	congenital disorder of glycosylation Ie	trastorno congénito de la glicosilación Ie	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.6672499999999999			
DOID:0080558	rdfs:label	congenital disorder of glycosylation If	trastorno congénito de la glicosilación If	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.69275		en:|[Allen] incorrectly translated subtype ""If"" to ""Si""	
DOID:0080559	rdfs:label	congenital disorder of glycosylation Ig	trastorno congénito de la glicosilación Ig	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.7017500000000001			
DOID:0080564	rdfs:label	congenital disorder of glycosylation Il	trastorno congénito de la glicosilación II	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.69275		en:|[Allen] typo, subtype is ""IL"" not ""II""; understandable human error, very similar-looking characters because ""L"" is lowercase	
DOID:0080566	rdfs:label	congenital disorder of glycosylation In	trastorno congénito de la glicosilación In	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.6805000000000001		en:|[Allen] dropped essential subtype ""n""	
DOID:0080633	rdfs:label	developmental cardiac valvular defect	defecto valvular cardíaco del desarrollo	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.7025	CSBJ		
DOID:0080835	rdfs:label	TORCH syndrome	síndrome TORCH	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.60625	CSBJ	es:|[Allen] google wrong; TSG translation keeping English acronym is used in Spanish (english acronym) = OK	
DOID:0090101	rdfs:label	lethal congenital glycogen storage disease of heart	enfermedad congénita letal por almacenamiento de glucógeno en el corazón	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.6719999999999999	CSBJ		
DOID:0110106	rdfs:label	atrial heart septal defect 1	comunicación interauricular tipo 1	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.595	CSBJ		
DOID:0110107	rdfs:label	atrial heart septal defect 2	comunicación interauricular tipo 2	The Spanish Group (https://thespanishgroup.org/)	en	es	final	0.65875	CSBJ		
