tsg_set,class,definition,clase,definición
1,DOID:0001816,A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.,DOID:0001816,Un cáncer vascular que se_deriva_de las células que recubren las paredes de los vasos sanguíneos o linfáticos.
1,DOID:0002116,A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.,DOID:0002116,Enfermedad de la córnea que se caracteriza por un crecimiento triangular del tejido que se_ubica_en la córnea del ojo que es el resultado de la degeneración del colágeno y la proliferación fibrovascular.
1,DOID:0014667,A disease that involving errors in metabolic processes of building or degradation of molecules.,DOID:0014667,Trastorno que implica errores en los procesos metabólicos de construcción o degradación de moléculas.
1,DOID:0040001,A crustacean allergy that has_allergic_trigger shrimp.,DOID:0040001,Una alergia a los crustáceos que tiene_como_desencadenante_de_la_alergia al camarón.
1,DOID:0040002,A drug allergy that has_allergic_trigger acetylsalicylic acid.,DOID:0040002,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al ácido acetilsalicílico.
1,DOID:0040003,A beta-lactam allergy that has_allergic_trigger benzylpenicillin.,DOID:0040003,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergia a la bencilpenicilina.
1,DOID:0040004,A beta-lactam allergy that has_allergic_trigger amoxicillin.,DOID:0040004,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergiaa la amoxicilina.
1,DOID:0040005,A cephalosporin allergy that has_allergic_trigger ceftriaxone.,DOID:0040005,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la ceftriaxona.
1,DOID:0040006,A drug allergy that has_allergic_trigger carbamazepine.,DOID:0040006,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia a la carbamazepina.
1,DOID:0040007,A drug allergy that has_allergic_trigger abacavir.,DOID:0040007,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergiaal abacavir.
1,DOID:0040008,A drug allergy that has_allergic_trigger isoniazide.,DOID:0040008,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergiaa la isoniazida.
1,DOID:0040009,A drug allergy that has_allergic_trigger lidocaine.,DOID:0040009,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la lidocaína.
1,DOID:0040010,A drug allergy that has_allergic_trigger mepivacaine.,DOID:0040010,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la mepivacaína.
1,DOID:0040011,A drug allergy that has_allergic_trigger phenobarbital.,DOID:0040011,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al fenobarbital.
1,DOID:0040012,A drug allergy that has_allergic_trigger phenytoin.,DOID:0040012,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la fenitoína.
1,DOID:0040013,A drug allergy that has_allergic_trigger ranitidine.,DOID:0040013,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la ranitidina.
1,DOID:0040014,A drug allergy that has_allergic_trigger corticosteroid.,DOID:0040014,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a los corticosteroides.
1,DOID:0040015,A drug allergy that has_allergic_trigger sulfonamide.,DOID:0040015,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la sulfonamida.
1,DOID:0040016,A drug allergy that has_allergic_trigger sulfamethoxazole.,DOID:0040016,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al sulfametoxazol.
1,DOID:0040017,A drug allergy that has_allergic_trigger suprofen.,DOID:0040017,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al suprofeno.
1,DOID:0040018,A drug allergy that has_allergic_trigger thiopental.,DOID:0040018,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al tiopental.
1,DOID:0040019,A drug allergy that has_allergic_trigger D-mannitol.,DOID:0040019,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al D-manitol.
